state,id,para,total,April,May,June,July,August,September,October,November,December,January,February,March,Total
,3.1.4,Number of Caesarean (C-Section) deliveries performed at other State owned public institutions,TOTAL,,,,,,,,,,,,,
,3.1.5,"Total Number of Caesarean (C-Section) deliveries performed at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 3.1.1 to 3.1.4)",TOTAL,53,75,65,62,72,88,87,62,89,74,88,86,901
,3.2,No. of C-section deliveries performed at Private facilities,TOTAL,,,,,,,,,,,,,
,4.1.1.a,Number of male live births,TOTAL,205,262,191,205,220,226,221,208,231,202,197,205,2573
,4.1.1.b,Number of female live births,TOTAL,194,230,196,195,192,176,191,190,223,223,215,242,2467
,4.1.1.c,Total number of male and female live births (4.1.1.a and 4.1.1.b),TOTAL,399,492,387,400,412,402,412,398,454,425,412,447,5040
,4.1.2,Number of still births,TOTAL,7,11,7,4,6,11,9,7,17,8,5,20,112
,4.1.3,Number of Abortions (spontaneous or induced),TOTAL,6,29,1,25,31,26,9,18,22,44,19,27,257
,4.2.1,Number of Newborns weighed at birth,TOTAL,390,485,380,403,415,415,390,383,436,413,406,439,4955
,4.2.2,Number of Newborns having weight less than 2.5 kg,TOTAL,34,70,61,33,87,78,88,102,98,95,88,104,938
,4.3,Number of Newborns breast fed within 1 hour of birth,TOTAL,388,481,375,403,331,414,131,397,456,415,392,440,4623
,5.1.1,Number of cases of pregnant women with Obstetric Complications and attended at PHCs,TOTAL,20,17,14,17,11,14,23,29,30,22,22,21,240
,5.1.2,Number of cases of pregnant women with Obstetric Complications and attended at CHCs,TOTAL,12,12,10,15,10,15,16,8,11,9,17,14,149
,5.1.3,Number of cases of pregnant women with Obstetric Complications and attended at SDHs or DHs,TOTAL,11,13,9,9,7,11,86,0,89,74,3,0,312
,5.1.4,Number of cases of pregnant women with Obstetric Complications and attended at other State owned public institutions,TOTAL,,,,,,,,,,,,,
,5.1.5,"Number of cases of pregnant women with Obstetric Complications and attended at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 5.1.1 to 5.1.4)",TOTAL,43,42,33,41,28,40,125,37,130,105,42,35,701
,5.2,Number of cases of pregnant women with Obstetric Complications and attended at Private facilities,TOTAL,,,,,3,3,,,,,,,6
,5.3.1,Number of cases of complicated pregnancies treated with IV antibiotics,TOTAL,10,16,21,12,11,107,23,94,102,93,92,90,671
,5.3.2,Number of cases of complicated pregnancies treated with IV Antihypertensive/Magsulph injection,TOTAL,,2,4,1,2,4,3,88,5,4,92,97,302
,5.3.3,Number of cases of complicated pregnancies treated with IV Oxytocis,TOTAL,10,309,238,8,258,188,272,248,124,114,153,145,2067
,5.3.4,Number of cases of complicated pregnancies treated with Blood Transfusion,TOTAL,13,17,20,,3,13,10,0,16,23,28,0,143
,6.1,Women getting post partum check-up within 48 hours after delivery,TOTAL,189,471,390,402,409,412,381,363,417,401,172,396,4403
,6.2,Women getting a post partum check up between 48 hours and 14 days after delivery,TOTAL,218,202,198,198,193,268,280,482,241,276,269,239,3064
,6.3,PNC maternal complications attended,TOTAL,,1,,,34,,7,2,3,0,2,0,49
,7.1.1,Number of MTPs conducted at Public Institutions up to 12 weeks of pregnancy,TOTAL,17,10,,19,20,21,11,13,7,8,6,10,142
,7.1.2,Number of MTPs conducted at Public Institutions for more than 12 weeks of pregnancy,TOTAL,1,,,,,,13,13,0,0,0,0,27
,7.1.3,Total number of MTPs conducted at Public Institutions (sum of items 7.1.1 and 7.1.2),TOTAL,18,10,,19,20,21,24,26,7,8,6,10,169
,7.2,Number of MTPs conducted at Private Facilities,TOTAL,,,,,,,0,0,0,0,0,0,0
,8.1.a,Number of new cases of RTI/STI in males for which treatment was initiated,TOTAL,13,20,17,83,18,76,27,34,46,55,38,30,457
,8.1.b,Number of new cases of RTI/STI in females for which treatment was initiated,TOTAL,9,13,11,10,24,70,26,31,55,70,54,51,424
,8.1.c,Total number of new cases of RTI/STI in males and females for which treatment was initiated (sum of items 8.1.a and 8.1.b),TOTAL,22,33,28,93,42,146,53,65,101,125,92,81,881
,8.2,Number of suspected RTI/STI cases for whom wet mount test was conducted,TOTAL,,,,,,,0,0,0,2,0,2,4
,9.1.1.a,Number of NSV (No Scalpel Vasectomy) or Conventional Vasectomy conducted at PHCs,TOTAL,,,,,,,0,0,0,0,0,0,0
,9.1.1.b,Number of NSV or Conventional Vasectomy conducted at CHCs,TOTAL,,,,,,,0,0,0,0,0,0,0
,9.1.1.c,Number of NSV or Conventional Vasectomy conducted at SDHs or DHs,TOTAL,,,,,,1,0,0,0,0,0,0,1
,9.1.1.d,Number of NSV or Conventional Vasectomy conducted at other State owned public institutions,TOTAL,,,,,,,,,,,,,
,9.1.1.e,"Total Number of NSV or Conventional Vasectomy conducted at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 9.1.1.a to 9.1.1.d)",TOTAL,,,,,,1,0,0,0,0,0,0,1
,9.1.2,Number of NSV or Conventional Vasectomy conducted at Private facilities,TOTAL,,,,,,,,,,,,,
,9.2.1.a,Number of Laparoscopic sterilizations conducted at PHCs,TOTAL,,,,,,2,0,0,0,0,0,0,2
,9.2.1.b,Number of Laparoscopic sterilizations conducted at CHCs,TOTAL,,,,342,,,0,0,0,0,0,0,342
,9.2.1.c,Number of Laparoscopic sterilizations conducted at SDHs or DHs,TOTAL,61,29,34,124,34,20,20,25,31,28,26,26,458
,9.2.1.d,Number of Laparoscopic sterilizations conducted at other State owned public institutions,TOTAL,,,,,,,,,,,,,
,9.2.1.e,"Total Number of Laparoscopic sterilizations conducted at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 9.2.1.a to 9.2.1.d)",TOTAL,61,29,34,466,34,22,20,25,31,28,26,26,802
,9.2.2,Number of Laparoscopic sterilizations conducted at Private facilities,TOTAL,,,,,,,,,,,,,
,9.3.1.a,Number of Mini-lap sterilizations conducted at PHCs,TOTAL,,14,,,,,0,0,0,0,0,0,14
,9.3.1.b,Number of Mini-lap sterilizations conducted at CHCs,TOTAL,,,,,,,0,0,0,0,0,0,0
,9.3.1.c,Number of Mini-lap sterilizations conducted at SDHs or DHs,TOTAL,17,32,21,22,10,4,4,11,22,5,18,6,172
,9.3.1.d,Number of Mini-lap sterilizations conducted at other State owned public institutions,TOTAL,,,,,,,,,,,,,
,9.3.1.e,"Total Number of Mini-lap sterilizations conducted at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 9.3.1.a to 9.3.1.d)",TOTAL,17,46,21,22,10,4,4,11,22,5,18,6,186
,9.3.2,Number of Mini-lap sterilizations conducted at Private facilities,TOTAL,,,,,,,,,,,,,
,9.4.1.a,Number of Post-Partum sterilizations conducted at PHCs,TOTAL,,1,,,,,0,0,0,0,0,0,1
,9.4.1.b,Number of Post-Partum sterilizations conducted at CHCs,TOTAL,,,,,,,0,0,0,0,0,0,0
,9.4.1.c,Number of Post-Partum sterilizations conducted at SDHs or DHs,TOTAL,,,,,,16,0,0,0,7,1,37,61
,9.4.1.d,Number of Post-Partum sterilizations conducted at other State owned public institutions,TOTAL,,,,,,,,,,,,,
,9.4.1.e,"Total Number of Post-Partum sterilizations conducted at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 9.4.1.a to 9.4.1.d)",TOTAL,,1,,,,16,0,0,0,7,1,37,62
,9.4.2,Number of Post-Partum sterilizations conducted at Private facilities,TOTAL,,,,,,,,,,,,,
,9.5.1.a,Number of IUCD Insertions conducted at SCs,TOTAL,15,7,4,3,,6,9,13,10,18,26,25,136
,9.5.1.b,Number of IUCD Insertions conducted at PHCs,TOTAL,29,10,20,49,9,15,10,19,10,14,43,45,273
,9.5.1.c,Number of IUCD Insertions conducted at CHCs,TOTAL,4,4,5,6,4,6,1,3,4,7,7,4,55
,9.5.1.d,Number of IUCD Insertions conducted at SDHs or DHs,TOTAL,17,11,18,24,12,6,9,11,11,6,5,29,159
,9.5.1.e,Number of IUCD Insertions conducted at other State owned public institutions,TOTAL,,,,,,,,,,,,,
,9.5.1.f,"Total Number of IUCD Insertions conducted at Public facilities i.e. SC, PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 9.5.1.a to 9.5.1.e)",TOTAL,65,32,47,82,25,33,29,46,35,45,81,103,623
,9.5.1A,"Out of above total, Post Partum (within 48 hours of delivery) IUCD insertions",TOTAL,,,,,,,,,,,,,
,9.5.2,Number of IUCD Insertions conducted at Private facilities,TOTAL,,,,,,,,,,,,,
,9.06,Number of IUCD removals,TOTAL,28,14,27,32,29,22,29,21,37,43,40,142,464
,9.07,Number of Oral Pills cycles distributed,TOTAL,1587,1540,1462,1458,1907,1606,1823,1497,1794,2776,2346,3123,22919
,9.08,Number of Condom pieces distributed,TOTAL,13008,9795,10954,12707,12829,14020,16491,15349,14465,16070,16004,16764,168456
,9.09,Number of Centchroman (weekly) pills given,TOTAL,,,40,,120,,92,23,63,2,1,0,341
,9.1,Number of Emergency Contraceptive Pills distributed,TOTAL,65,32,10,26,1,11,17,18,18,19,56,21,294
,9.11.1.a,Number of cases of complications following male sterilization,TOTAL,,,,,,,0,0,0,0,0,0,0
,9.11.1.b,Number of cases of complications following female sterilization,TOTAL,,,,,,,1,1,0,2,0,3,7
,9.11.2.a,Number of failures following male sterilization,TOTAL,,,,,,,0,0,0,0,0,0,0
,9.11.2.b,Number of failures following female sterilization,TOTAL,,,,,,,0,0,0,1,2,0,3
,9.11.3.a,Number of deaths following male sterilization,TOTAL,,,,,,,0,0,0,0,0,0,0
,9.11.3.b,Number of deaths following female sterilization,TOTAL,,,,,,,0,0,0,0,0,2,2
,9.12,Number of Institutions having NSV trained doctors,TOTAL,1,3,3,3,5,6,8,4,26,27,29,27,-1
,10.1.01,Number of Infants (0 to 11 months old)received BCG immunisation,TOTAL,482,455,403,409,397,415,449,350,434,433,403,415,5045
,10.1.02,Number of Infants (0 to 11 months old) received DPT1 immunisation,TOTAL,495,395,440,490,337,431,448,406,308,489,417,377,5033
,10.1.03,Number of Infants (0 to 11 months old) received DPT2 immunisation,TOTAL,460,382,441,436,358,454,445,390,322,497,462,384,5031
,10.1.04,Number of Infants (0 to 11 months old) received DPT3 immunisation,TOTAL,469,385,427,432,331,504,487,383,312,508,433,398,5069
,10.1.04A,Number of Infants (0 to 11 months old) received Pentavalent1 immunisation,TOTAL,,,,,,,,,,,,,
,10.1.04B,Number of Infants (0 to 11 months old) received Pentavalent2 immunisation,TOTAL,,,,,,,,,,,,,
,10.1.04C,Number of Infants (0 to 11 months old) received Pentavalent3 immunisation,TOTAL,,,,,,,,,,,,,
,10.1.05,Number of Infants (0 to 11 months old) received OPV 0 (Birth Dose),TOTAL,376,432,390,333,387,171,417,333,464,421,306,401,4431
,10.1.06,Number of Infants (0 to 11 months old) received OPV1 (First Dose),TOTAL,499,394,443,489,335,416,453,417,317,481,419,377,5040
,10.1.07,Number of Infants (0 to 11 months old) received OPV2 (Second Dose),TOTAL,459,394,439,434,392,454,435,394,335,493,462,380,5071
,10.1.08,Number of Infants (0 to 11 months old) received OPV3 (Third Dose),TOTAL,469,373,425,442,334,513,478,388,305,508,431,397,5063
,10.1.09A,Number of Infants (upto 48 hrs of age) received Hepatitis-B0 immunisation,TOTAL,266,229,209,201,212,214,250,186,202,196,183,168,2516
,10.1.09,Number of Infants (0 to 11 months old) received Hepatitis-B1 immunisation,TOTAL,495,390,438,489,346,413,449,407,335,496,414,374,5046
,10.1.10,Number of Infants (0 to 11 months old) received Hepatitis-B2 immunisation,TOTAL,460,400,441,433,377,461,441,395,318,489,459,384,5058
,10.1.11,Number of Infants (0 to 11 months old) received Hepatitis-B3 immunisation,TOTAL,470,379,427,443,342,507,478,384,316,514,433,398,5091
,10.1.12,Number of Infants (0 to 11 months old) received Measles immunisation (First Dose),TOTAL,518,352,418,475,348,460,530,424,299,525,469,465,5283
,10.1.12B,Number of Infants (more than 16 months old) received Measles immunisation (Second Dose),TOTAL,271,145,131,185,119,111,120,92,77,164,70,91,1576
,10.1A,No. of Children aged 9 to 12 months who received JE 1st dose,TOTAL,,,,,,,,,,,,,
,10.1.13.a,Total number of male children (9 to 11 months old) fully immunised (BCG+DPT123/Pentavalent123+OPV123+Measles) during the month,TOTAL,280,178,226,268,173,193,349,306,161,283,226,278,2921
,10.1.13.b,Total number of female children (9 to 11 months old) fully immunised (BCG+DPT123/Pentavalent123+OPV123+Measles) during the month,TOTAL,269,197,198,230,194,240,337,216,126,279,215,261,2762
,10.1.13.c,Total number of children (9 to 11 months old) fully immunised (BCG+DPT123/Pentavalent123+OPV123+Measles) during the month (sum of items 10.1.13.a and 10.1.13.b),TOTAL,549,375,424,498,367,433,686,522,287,562,441,539,5683
,10.2.1,Number of Infants (more than 16 months old) received DPT Booster dose,TOTAL,464,373,381,432,331,431,440,398,295,474,414,395,4828
,10.2.2,Number of Infants (more than 16 months old) received OPV Booster dose,TOTAL,471,376,381,432,333,430,404,423,301,471,417,395,4834
,10.2.3,"Number of Infants (more than 16 months old) received Measles, Mumps, Rubella (MMR) Vaccination",TOTAL,10,107,25,10,47,91,169,106,107,151,159,111,1093
,10.3.1.a,Total number of male children (12 to 23 months old) fully immunised (BCG+DPT123/Pentavalent123+OPV123+Measles) during the month,TOTAL,103,59,98,63,89,83,140,169,111,167,102,101,1285
,10.3.1.b,Total number of female children (12 to 23 months old) fully immunised (BCG+DPT123/Pentavalent123+OPV123+Measles) during the month,TOTAL,90,64,109,52,100,94,175,173,94,156,80,69,1256
,10.3.1.c,Total number of children (12 to 23 months old) fully immunised (BCG+DPT123+OPV123/Pentavalent123+Measles) during the month (sum of items 10.3.1.a and 10.3.1.b),TOTAL,193,123,207,115,189,177,315,342,205,323,182,170,2541
,10.3.2,Number of children (more than 5 years old) given DT5,TOTAL,13,12,2,30,392,501,399,289,404,75,58,36,2211
,10.3.3,Number of children (more than 10 years old) given TT10,TOTAL,4,,271,98,782,875,808,615,497,24,46,12,4032
,10.3.4,Number of children (more than 16 years old) given TT16,TOTAL,,,83,388,436,817,881,1030,399,15,168,1,4218
,10.3.5.a,Number of cases of Abscess reported following immunisation [Adverse Event Following Immunisation (AEFI)],TOTAL,1,6,5,,2,,1,1,0,0,0,0,16
,10.3.5.b,Number of cases of Death reported following immunisation [Adverse Event Following Immunisation (AEFI)],TOTAL,,,,,,,0,0,0,0,0,0,0
,10.3.5.c,Number of cases of other complications reported following immunisation [Adverse Event Following Immunisation (AEFI)],TOTAL,25,9,17,4,57,21,11,12,9,17,15,7,204
,10.4.1,Number of Immunisation sessions planned to be held during the month,TOTAL,227,310,273,310,335,346,350,302,309,378,320,293,3753
,10.4.2,Number of Immunisation sessions held during the month,TOTAL,222,265,255,267,269,321,316,300,267,349,302,269,3402
,10.4.3,Number of Immunisation sessions held during the month where ASHAs were present,TOTAL,132,164,115,129,110,138,163,151,145,165,169,151,1732
,10.5.1,Number of children (more than 16 months old) received Japanese Encephalitis (JE) vaccination,TOTAL,,,,,,,0,0,0,0,0,0,0
,11.1.1,Number of children (9 months to 5 years old) administered 1st dose of Vitamin A (Dose-1),TOTAL,455,379,319,336,299,434,454,457,285,515,430,464,4827
,11.1.2,Number of children (9 months to 5 years old) were administered 5th dose of Vitamin A (Dose-5),TOTAL,1483,366,346,75,116,213,729,1681,745,395,189,220,6558
,11.1.3,Number of children (9 months to 5 years old) administered 9th dose of Vitamin A (Dose-9),TOTAL,1677,544,149,25,64,35,527,2072,249,63,18,12,5435
,12.1,Number of cases of Diptheria reported in children below 5 years of age,TOTAL,,,,,,,0,0,0,0,0,0,0
,12.2,Number of cases of Pertusis reported in children below 5 years of age,TOTAL,,,,,,,0,0,0,0,0,0,0
,12.3,Number of cases of Tetanus neonatarum reported in children below 5 years of age,TOTAL,,,,,,,0,0,0,0,0,0,0
,12.4,Number of cases of Tetanus other than neonatarum reported in children below 5 years of age,TOTAL,,,,,,,0,0,0,0,0,0,0
,12.5,Number of cases of Polio reported in children below 5 years of age,TOTAL,,,,,,,0,0,0,0,0,0,0
,12.6,Number of cases of Measles reported in children below 5 years of age,TOTAL,,2,,,11,2,5,0,1,0,3,4,28
,12.7,Number of cases of Diarrhoea and Dehydration reported in children below 5 years of age,TOTAL,169,220,367,162,192,173,247,267,310,270,235,277,2889
,12.8,Number of cases of Malaria reported in children below 5 years of age,TOTAL,91,66,46,33,10,14,17,7,23,5,5,18,335
,12.9,Number of children below 5 years of age admitted with Respiratory Infections,TOTAL,140,218,172,143,148,124,115,153,200,131,127,70,1741
,13.1,Number of Patients operated for cataract,TOTAL,53,65,65,52,4,7,51,67,54,78,57,21,574
,13.2,Number of Intraocular Lens(IOL) implantations,TOTAL,50,,,49,1,3,47,65,51,75,54,19,414
,13.3,Number of School children detected with Refractive errors,TOTAL,16,16,15,60,81,75,49,299,240,410,182,177,1620
,13.4,Number of children provided free glasses,TOTAL,23,1,,8,29,10,33,36,54,53,25,28,300
,13.5,Number of eyes collected through eye donation,TOTAL,,,,,,,0,0,0,0,0,0,0
,13.6,Number of eyes utilised for corneal transplant,TOTAL,,,,,,,0,0,0,0,0,0,0
,14.01,Number of CHC or SDH or DH functioning as First Referral units (FRUs),TOTAL,10,7,7,7,3,3,4,4,6,6,6,6,-1
,14.02,Number of PHCs functioning 24X7 with atleast 3 Staff Nurses,TOTAL,23,21,22,22,21,22,19,18,21,24,24,23,-1
,14.03,Number of Anganwadi centres reported to have conducted VHNDs,TOTAL,66,204,141,179,225,131,152,147,297,254,193,233,-1
,14.04,Number of facilities having a Rogi Kalyan Samiti (RKS),TOTAL,28,27,18,18,7,8,7,6,6,6,6,6,-1
,14.05,Number of RKS meetings held during the month,TOTAL,3,,,,2,2,6,3,4,7,4,7,38
,14.06,Number of facilities having Ambulance services (Assured Referral Services),TOTAL,30,29,29,29,27,29,26,27,28,32,32,32,-1
,14.07,Total Number of times the Ambulance was used for transporting patients during the month,TOTAL,551,658,486,698,402,781,771,844,875,890,734,754,8444
,14.08,Number of Institutions having Operational Sick New Born and Child Care Units (SNCU),TOTAL,6,4,8,6,5,7,6,6,7,7,7,7,-1
,14.09,Number of functional Laproscopes in CHC/SDH/DH,TOTAL,,1,1,1,,,0,0,0,1,1,1,-1
,14.10.1.a,Number of male patients admitted (Inpatients) during the month,1. Children,585,762,758,732,590,505,913,555,736,591,286,578,7591
,,,2. Adults,1237,1439,1347,1905,1367,1402,1100,1407,1726,1663,1475,1278,17346
,14.10.1.b,Number of female patients (Inpatients) admitted during the month,1. Children,467,653,562,558,439,374,945,503,550,488,253,503,6295
,,,2. Adults,1333,1765,1520,1814,1543,1553,1135,1569,1663,1575,1536,1579,18585
,14.10.1.c,Total number of patients admitted (Inpatients) during the month (sum of items 14.10.1.a and 14.10.1.b),1. Children,1052,1415,1320,1290,1029,879,1858,1058,1286,1079,539,1081,13886
,,,2. Adults,2570,3204,2867,3719,2910,2955,2235,2976,3389,3238,3011,2857,35931
,14.10.2.a,Number of death cases of Inpatient males,TOTAL,57,60,52,69,65,56,55,50,65,64,75,45,713
,14.10.2.b,Number of death cases of Inpatient females,TOTAL,38,33,33,32,21,43,42,20,33,28,37,21,381
,14.10.2.c,Number of cases of death of Inpatients (sum of items 14.10.2.a and 14.10.2.b),TOTAL,95,93,85,101,86,99,97,70,98,92,112,66,1094
,14.11,In-Patient Head Count at midnight,TOTAL,1226,1440,1249,1569,1288,47473,1382,1240,1811,1177,1002,1311,62168
,14.12.1,OPD attendance (All),TOTAL,99183,112945,127517,114878,142149,135409,146392,134175,149492,150181,137711,144774,1594806
,14.13.1,Number of major operations carried out using general or spinal anaesthesia,TOTAL,224,233,221,234,217,208,239,234,232,268,205,226,2741
,14.13.1A,"Out of 14.13.1,Gynecology- Hysterectomy surgeries",TOTAL,,,,,,,,,,,,,
,14.13.2,Number of minor operations carried out without anaesthesia or using local anaesthesia,TOTAL,291,302,155,217,185,235,278,287,281,267,174,304,2976
,14.14.a,Number of patients given AYUSH treatment,TOTAL,5956,7305,5760,8057,7495,6071,6174,5814,5762,5212,4256,3891,71753
,14.14.b,Number of patients on whom Dental Procedure was conducted,TOTAL,344,361,698,947,1053,934,779,757,773,1323,614,545,9128
,14.14.c,Number of Adolescents counselled,TOTAL,68,64,182,379,46,200,68,114,192,63,79,47,1502
,15.1.1.a,Number of Haemoglobin (Hb) tests conducted,TOTAL,7652,9219,6798,7534,8632,9095,10162,8852,37397,10701,10443,11023,137508
,15.1.1.b,"Out of the total number of Hb tests conducted, number of cases having Hb less than 7gm/dl",TOTAL,1164,476,368,439,438,605,603,502,562,567,553,643,6920
,15.1.2.a,Number of HIV tests conducted on males,1. Number tested,1001,741,801,843,937,1009,886,1046,1059,981,858,967,11129
,,,2. Number Positive,,2,,17,1,,4,1,4,0,57,1,87
,15.1.2.b,Number of HIV tests conducted on Female-Non ANC (i.e. non pregnant females),1. Number tested,173,248,344,201,259,282,238,135,278,268,207,299,2932
,,,2. Number Positive,,,,5,,,3,0,0,99,0,1,108
,15.1.2.c,Number of HIV tests conducted on Female with ANC (i.e. pregnant females),1. Number tested,477,451,442,608,553,480,528,468,530,488,447,433,5905
,,,2. Number Positive,,,,4,,,4,1,4,103,3,0,119
,15.1.2.d,Total number of HIV tests conducted (sum of items 15.1.2.a to 15.1.2.c),1. Number tested,1651,1440,1587,1652,1749,1771,1652,1649,1867,1737,1512,1699,19966
,,,2. Number Positive,,2,,26,1,,11,2,8,202,60,2,314
,15.2,Number of Widal tests conducted,Number tested,865,982,857,647,1074,1059,1247,1228,1195,1334,798,1009,12295
,15.3.a,Number of VDRL tests conducted on males,Number tested,568,634,661,869,723,521,726,754,733,564,638,708,8099
,15.3.b,Number of VDRL tests conducted on Female-Non ANC (i.e. non pregnant females),Number tested,183,90,150,43,99,70,98,94,100,96,69,163,1255
,15.3.c,Number of VDRL tests conducted on Female with ANC (i.e. pregnant females),Number tested,577,485,480,625,575,496,545,520,553,443,434,478,6211
,15.3.d,Total number of VDRL tests conducted (sum of items 15.3.a to 15.3.c),Number tested,1328,1209,1291,1537,1397,1087,1369,1368,1386,1103,1141,1349,15565
,15.4.1,Number of blood smears examined for Malaria,TOTAL,2952,5610,4246,3182,3357,3415,4915,3336,4018,3142,2860,2736,43769
,15.4.2,"Out of blood smears examined for malaria, number of blood smears tested positive for Plasmodium Vivax",TOTAL,1702,100,62,37,47,27,93,87,384,38,28,119,2724
,15.4.3,"Out of blood smears examined for malaria, number of blood smears tested positive for Plasmodium Falciparum",TOTAL,53,47,35,19,7,7,6,6,9,4,7,4,204
,16.1.1,Stock position of DPT vaccines,1. Balance From Previous Month,4956,3610,3305,2915,2172,2981,,,,,,,19939
,,,2. Stocks Received,914,1480,1600,1510,1800,1500,,,,,,,8804
,,,3. Unusable Stock,206,306,221,239,325,168,,,,,,,1465
,,,4. Stock Distributed,2054,2115,1272,1464,1028,1485,,,,,,,9418
,,,5. Total Stock,3610,2669,3412,2722,2619,2828,0,0,0,0,0,0,17860
,16.1.1A,Stock Position of Pentavalent,1. Balance From Previous Month,,,,,,,,,,,,,
,,,2. Stocks Received,,,,,,,,,,,,,
,,,3. Unusable Stock,,,,,,,,,,,,,
,,,4. Stock Distributed,,,,,,,,,,,,,
,,,5. Total Stock,0,0,0,0,0,0,0,0,0,0,0,0,0
,16.1.2,Stock position of OPV vaccines,1. Balance From Previous Month,8753,6963,6070,4274,2251,2597,,,,,,,30908
,,,2. Stocks Received,1060,2380,1700,1720,1460,2460,,,,,,,10780
,,,3. Unusable Stock,496,1024,614,641,546,592,,,,,,,3913
,,,4. Stock Distributed,2354,2685,2197,1550,728,1656,,,,,,,11170
,,,5. Total Stock,6963,5634,4959,3803,2437,2809,0,0,0,0,0,0,26605
