state,id,para,total,April,May,June,July,August,September,October,November,December,January,February,March,Total,,
,2.2.2.b,Number of ASHAs paid JSY Incentive for deliveries conducted at Public Institutions,TOTAL,21,22,18,16,11,20,13,15,14,15,14,9,188,,
,2.2.2.c,Number of cases of deliveries conducted at Public Institutions where JSY incentive was paid to ANMs or AWWs [only for High Performing States (HPS)],TOTAL,,,,,,,,,,,,,,,
,2.3,Deliveries conducted at Private Institutions (Including C-Sections),TOTAL,,,,,,,,,,,,,,,
,2.3.1.a,Number of mothers paid JSY Incentive for deliveries conducted at accredited Private Institutions,TOTAL,,,,,,,,,,,,,,,
,2.3.1.b,Number of ASHAs paid JSY Incentive for deliveries conducted at accredited Private Institutions,TOTAL,,,,,,,,,,,,,,,
,2.3.1.c,Number of cases of deliveries conducted at accredited Private Institutions where JSY incentive was paid to ANMs or AWWs [only for High Performing States (HPS)],TOTAL,,,,,,,,,,,,,,,
,3.1.1,Number of Caesarean (C-Section) deliveries performed at PHCs (Primary Health Centre),TOTAL,,,,,,,,,,,,,,,
,3.1.2,Number of Caesarean (C-Section) deliveries performed at CHCs (Community Health Centre),TOTAL,,,,,,,,,,,,,,,
,3.1.3,Number of Caesarean (C-Section) deliveries performed at SDHs (Sub-divisional Hospital) or DHs (District Hospital),TOTAL,67,70,85,76,93,85,71,64,52,,52,61,776,,
,3.1.4,Number of Caesarean (C-Section) deliveries performed at other State owned public institutions,TOTAL,,,,,,,,,,,,,,,
,3.1.5,"Total Number of Caesarean (C-Section) deliveries performed at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 3.1.1 to 3.1.4)",TOTAL,67,70,85,76,93,85,71,64,52,,52,61,776,,
,3.2,No. of C-section deliveries performed at Private facilities,TOTAL,,,,,,,,,,,,,,,
,4.1.1.a,Number of male live births,TOTAL,212,196,205,217,204,226,223,233,240,213,204,216,2589,,
,4.1.1.b,Number of female live births,TOTAL,204,218,207,199,199,203,198,217,214,190,209,213,2471,,
,4.1.1.c,Total number of male and female live births (4.1.1.a and 4.1.1.b),TOTAL,416,414,412,416,403,429,421,450,454,403,413,429,5060,,
,4.1.2,Number of still births,TOTAL,5,4,9,5,12,7,7,7,4,8,10,4,82,,
,4.1.3,Number of Abortions (spontaneous or induced),TOTAL,29,21,40,37,38,38,37,23,33,20,18,29,363,,
,4.2.1,Number of Newborns weighed at birth,TOTAL,407,372,410,414,402,421,420,450,452,409,413,420,4990,,
,4.2.2,Number of Newborns having weight less than 2.5 kg,TOTAL,68,44,23,56,65,67,85,61,50,35,17,50,621,,
,4.3,Number of Newborns breast fed within 1 hour of birth,TOTAL,333,285,316,326,306,427,362,401,402,406,255,348,4167,,
,5.1.1,Number of cases of pregnant women with Obstetric Complications and attended at PHCs,TOTAL,10,13,12,15,11,8,10,13,17,1,11,24,145,,
,5.1.2,Number of cases of pregnant women with Obstetric Complications and attended at CHCs,TOTAL,13,11,14,14,9,8,13,7,1,,14,7,111,,
,5.1.3,Number of cases of pregnant women with Obstetric Complications and attended at SDHs or DHs,TOTAL,25,23,26,25,21,26,102,80,9,166,18,20,541,,
,5.1.4,Number of cases of pregnant women with Obstetric Complications and attended at other State owned public institutions,TOTAL,,2,,,,,,,,,,,2,,
,5.1.5,"Number of cases of pregnant women with Obstetric Complications and attended at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 5.1.1 to 5.1.4)",TOTAL,48,49,52,54,41,42,125,100,27,167,43,51,799,,
,5.2,Number of cases of pregnant women with Obstetric Complications and attended at Private facilities,TOTAL,,,,,,,,,,,,,,,
,5.3.1,Number of cases of complicated pregnancies treated with IV antibiotics,TOTAL,11,87,6,93,100,4,35,108,11,3,10,12,480,,
,5.3.2,Number of cases of complicated pregnancies treated with IV Antihypertensive/Magsulph injection,TOTAL,9,6,18,2,12,24,16,15,7,8,5,3,125,,
,5.3.3,Number of cases of complicated pregnancies treated with IV Oxytocis,TOTAL,12,10,206,21,5,180,243,254,252,150,5,6,1344,,
,5.3.4,Number of cases of complicated pregnancies treated with Blood Transfusion,TOTAL,18,16,19,28,28,29,34,21,17,9,5,8,232,,
,6.1,Women getting post partum check-up within 48 hours after delivery,TOTAL,367,339,365,379,349,399,409,414,409,266,262,341,4299,,
,6.2,Women getting a post partum check up between 48 hours and 14 days after delivery,TOTAL,183,178,179,246,184,160,177,184,206,47,188,192,2124,,
,6.3,PNC maternal complications attended,TOTAL,1,1,,,1,1,,2,1,,98,28,133,,
,7.1.1,Number of MTPs conducted at Public Institutions up to 12 weeks of pregnancy,TOTAL,14,15,15,23,11,15,25,23,14,16,15,23,209,,
,7.1.2,Number of MTPs conducted at Public Institutions for more than 12 weeks of pregnancy,TOTAL,,,,,,,,,,,,,,,
,7.1.3,Total number of MTPs conducted at Public Institutions (sum of items 7.1.1 and 7.1.2),TOTAL,14,15,15,23,11,15,25,23,14,16,15,23,209,,
,7.2,Number of MTPs conducted at Private Facilities,TOTAL,,,,,,,,,,,,,,,
,8.1.a,Number of new cases of RTI/STI in males for which treatment was initiated,TOTAL,,,,,,,,,,2,,10,12,,
,8.1.b,Number of new cases of RTI/STI in females for which treatment was initiated,TOTAL,3,5,6,6,4,2,14,26,11,19,13,24,133,,
,8.1.c,Total number of new cases of RTI/STI in males and females for which treatment was initiated (sum of items 8.1.a and 8.1.b),TOTAL,3,5,6,6,4,2,14,26,11,21,13,34,145,,
,8.2,Number of suspected RTI/STI cases for whom wet mount test was conducted,TOTAL,,,,,,,,,,,,,,,
,9.1.1.a,Number of NSV (No Scalpel Vasectomy) or Conventional Vasectomy conducted at PHCs,TOTAL,,,,,,,,,,,,,,,
,9.1.1.b,Number of NSV or Conventional Vasectomy conducted at CHCs,TOTAL,,,,,,,,,,,,,,,
,9.1.1.c,Number of NSV or Conventional Vasectomy conducted at SDHs or DHs,TOTAL,,,,,,,,,,,,,,,
,9.1.1.d,Number of NSV or Conventional Vasectomy conducted at other State owned public institutions,TOTAL,,,,,,,,,,,,,,,
,9.1.1.e,"Total Number of NSV or Conventional Vasectomy conducted at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 9.1.1.a to 9.1.1.d)",TOTAL,,,,,,,,,,,,,,,
,9.1.2,Number of NSV or Conventional Vasectomy conducted at Private facilities,TOTAL,,,,,,,,,,,,,,,
,9.2.1.a,Number of Laparoscopic sterilizations conducted at PHCs,TOTAL,,32,17,,,,,,,,,,49,,
,9.2.1.b,Number of Laparoscopic sterilizations conducted at CHCs,TOTAL,,,,,,,,108,,,,,108,,
,9.2.1.c,Number of Laparoscopic sterilizations conducted at SDHs or DHs,TOTAL,38,51,39,33,23,31,35,22,32,31,213,34,582,,
,9.2.1.d,Number of Laparoscopic sterilizations conducted at other State owned public institutions,TOTAL,,,,,,,,,,,,,,,
,9.2.1.e,"Total Number of Laparoscopic sterilizations conducted at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 9.2.1.a to 9.2.1.d)",TOTAL,38,83,56,33,23,31,35,130,32,31,213,34,739,,
,9.2.2,Number of Laparoscopic sterilizations conducted at Private facilities,TOTAL,,,,,,,,,,,,,,,
,9.3.1.a,Number of Mini-lap sterilizations conducted at PHCs,TOTAL,8,21,13,9,11,15,10,15,17,,,,119,,
,9.3.1.b,Number of Mini-lap sterilizations conducted at CHCs,TOTAL,,,,,,,,6,,,,,6,,
,9.3.1.c,Number of Mini-lap sterilizations conducted at SDHs or DHs,TOTAL,21,44,16,19,25,34,23,24,14,18,11,11,260,,
,9.3.1.d,Number of Mini-lap sterilizations conducted at other State owned public institutions,TOTAL,,,,,,,,,,,,,,,
,9.3.1.e,"Total Number of Mini-lap sterilizations conducted at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 9.3.1.a to 9.3.1.d)",TOTAL,29,65,29,28,36,49,33,45,31,18,11,11,385,,
,9.3.2,Number of Mini-lap sterilizations conducted at Private facilities,TOTAL,,,,,,,,,,,,,,,
,9.4.1.a,Number of Post-Partum sterilizations conducted at PHCs,TOTAL,,,,,,,,,,12,,,12,,
,9.4.1.b,Number of Post-Partum sterilizations conducted at CHCs,TOTAL,,,,,,,,114,,,,,114,,
,9.4.1.c,Number of Post-Partum sterilizations conducted at SDHs or DHs,TOTAL,,,,,,,,,,,,,,,
,9.4.1.d,Number of Post-Partum sterilizations conducted at other State owned public institutions,TOTAL,,,,,,,,,,,,,,,
,9.4.1.e,"Total Number of Post-Partum sterilizations conducted at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 9.4.1.a to 9.4.1.d)",TOTAL,,,,,,,,114,,12,,,126,,
,9.4.2,Number of Post-Partum sterilizations conducted at Private facilities,TOTAL,,,,,,,,,,,,,,,
,9.5.1.a,Number of IUCD Insertions conducted at SCs,TOTAL,26,23,15,27,21,8,12,17,29,13,17,21,229,,
,9.5.1.b,Number of IUCD Insertions conducted at PHCs,TOTAL,26,40,24,34,23,19,20,33,58,37,29,23,366,,
,9.5.1.c,Number of IUCD Insertions conducted at CHCs,TOTAL,11,12,3,6,9,5,6,4,5,7,8,5,81,,
,9.5.1.d,Number of IUCD Insertions conducted at SDHs or DHs,TOTAL,23,25,18,14,23,12,16,22,6,22,25,13,219,,
,9.5.1.e,Number of IUCD Insertions conducted at other State owned public institutions,TOTAL,,,,,,,,,,,,,,,
,9.5.1.f,"Total Number of IUCD Insertions conducted at Public facilities i.e. SC, PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 9.5.1.a to 9.5.1.e)",TOTAL,86,100,60,81,76,44,54,76,98,79,79,62,895,,
,9.5.1A,"Out of above total, Post Partum (within 48 hours of delivery) IUCD insertions",TOTAL,,,,,,,,,,,,,,,
,9.5.2,Number of IUCD Insertions conducted at Private facilities,TOTAL,,,,,,,,,,,,,,,
,9.06,Number of IUCD removals,TOTAL,21,25,30,18,19,20,15,27,19,47,33,27,301,,
,9.07,Number of Oral Pills cycles distributed,TOTAL,859,1434,1090,948,935,1022,1243,1365,1353,1091,1359,1699,14398,,
,9.08,Number of Condom pieces distributed,TOTAL,2376,1936,1992,1635,1558,1459,1459,1064,2839,8728,6563,6440,38049,,
,9.09,Number of Centchroman (weekly) pills given,TOTAL,,5,,,,,,,,,,,5,,
,9.1,Number of Emergency Contraceptive Pills distributed,TOTAL,13,12,44,33,23,35,11,22,21,30,19,19,282,,
,9.11.1.a,Number of cases of complications following male sterilization,TOTAL,,,,,,,,,,,,,,,
,9.11.1.b,Number of cases of complications following female sterilization,TOTAL,,,,,,,,,,,,,,,
,9.11.2.a,Number of failures following male sterilization,TOTAL,,,,,,,,,,,,,,,
,9.11.2.b,Number of failures following female sterilization,TOTAL,,,,,,,,,,,,,,,
,9.11.3.a,Number of deaths following male sterilization,TOTAL,,,,,,,,,,,,,,,
,9.11.3.b,Number of deaths following female sterilization,TOTAL,,,,,,,,,,,,,,,
,9.12,Number of Institutions having NSV trained doctors,TOTAL,,,,,,,,,,1,1,2,-1,,
,10.1.01,Number of Infants (0 to 11 months old)received BCG immunisation,TOTAL,392,368,398,413,360,400,293,460,449,409,359,385,4686,,
,10.1.02,Number of Infants (0 to 11 months old) received DPT1 immunisation,TOTAL,339,434,345,403,307,462,367,383,395,454,384,328,4601,,
,10.1.03,Number of Infants (0 to 11 months old) received DPT2 immunisation,TOTAL,381,384,397,372,335,401,395,375,431,404,387,352,4614,,
,10.1.04,Number of Infants (0 to 11 months old) received DPT3 immunisation,TOTAL,351,382,351,390,325,357,383,485,412,386,376,377,4575,,
,10.1.04A,Number of Infants (0 to 11 months old) received Pentavalent1 immunisation,TOTAL,,,,,,,,,,,,,,,
,10.1.04B,Number of Infants (0 to 11 months old) received Pentavalent2 immunisation,TOTAL,,,,,,,,,,,,,,,
,10.1.04C,Number of Infants (0 to 11 months old) received Pentavalent3 immunisation,TOTAL,,,,,,,,,,,,,,,
,10.1.05,Number of Infants (0 to 11 months old) received OPV 0 (Birth Dose),TOTAL,383,386,401,407,315,339,290,418,435,395,381,301,4451,,
,10.1.06,Number of Infants (0 to 11 months old) received OPV1 (First Dose),TOTAL,339,380,360,414,307,351,360,384,395,452,420,331,4493,,
,10.1.07,Number of Infants (0 to 11 months old) received OPV2 (Second Dose),TOTAL,381,372,399,374,334,391,396,375,429,404,385,350,4590,,
,10.1.08,Number of Infants (0 to 11 months old) received OPV3 (Third Dose),TOTAL,351,404,346,396,326,373,382,373,413,386,376,389,4515,,
,10.1.09A,Number of Infants (upto 48 hrs of age) received Hepatitis-B0 immunisation,TOTAL,,,,,,,20,296,309,24,183,199,1031,,
,10.1.09,Number of Infants (0 to 11 months old) received Hepatitis-B1 immunisation,TOTAL,339,548,360,416,307,388,361,379,393,448,392,326,4657,,
,10.1.10,Number of Infants (0 to 11 months old) received Hepatitis-B2 immunisation,TOTAL,381,417,397,390,320,390,375,376,422,405,371,352,4596,,
,10.1.11,Number of Infants (0 to 11 months old) received Hepatitis-B3 immunisation,TOTAL,351,413,347,307,310,383,366,372,407,383,368,376,4383,,
,10.1.12,Number of Infants (0 to 11 months old) received Measles immunisation (First Dose),TOTAL,467,394,422,519,485,447,452,402,485,458,414,335,5280,,
,10.1.12B,Number of Infants (more than 16 months old) received Measles immunisation (Second Dose),TOTAL,,,,,,,177,234,290,295,230,234,1460,,
,10.1A,No. of Children aged 9 to 12 months who received JE 1st dose,TOTAL,,,,,,,,,,,,,,,
,10.1.13.a,Total number of male children (9 to 11 months old) fully immunised (BCG+DPT123/Pentavalent123+OPV123+Measles) during the month,TOTAL,220,233,230,270,259,227,232,249,237,242,229,182,2810,,
,10.1.13.b,Total number of female children (9 to 11 months old) fully immunised (BCG+DPT123/Pentavalent123+OPV123+Measles) during the month,TOTAL,252,212,228,254,239,222,237,225,238,210,324,189,2830,,
,10.1.13.c,Total number of children (9 to 11 months old) fully immunised (BCG+DPT123/Pentavalent123+OPV123+Measles) during the month (sum of items 10.1.13.a and 10.1.13.b),TOTAL,472,445,458,524,498,449,469,474,475,452,553,371,5640,,
,10.2.1,Number of Infants (more than 16 months old) received DPT Booster dose,TOTAL,351,333,411,376,224,370,406,416,420,443,368,361,4479,,
,10.2.2,Number of Infants (more than 16 months old) received OPV Booster dose,TOTAL,356,332,420,374,222,366,404,415,424,443,426,361,4543,,
,10.2.3,"Number of Infants (more than 16 months old) received Measles, Mumps, Rubella (MMR) Vaccination",TOTAL,262,205,272,256,158,239,11,4,,10,6,91,1514,,
,10.3.1.a,Total number of male children (12 to 23 months old) fully immunised (BCG+DPT123/Pentavalent123+OPV123+Measles) during the month,TOTAL,34,16,100,58,35,61,124,114,51,13,67,93,766,,
,10.3.1.b,Total number of female children (12 to 23 months old) fully immunised (BCG+DPT123/Pentavalent123+OPV123+Measles) during the month,TOTAL,35,12,123,78,32,57,123,121,33,7,50,81,752,,
,10.3.1.c,Total number of children (12 to 23 months old) fully immunised (BCG+DPT123+OPV123/Pentavalent123+Measles) during the month (sum of items 10.3.1.a and 10.3.1.b),TOTAL,69,28,223,136,67,118,247,235,84,20,117,174,1518,,
,10.3.2,Number of children (more than 5 years old) given DT5,TOTAL,9,3,6,20,154,46,57,344,39,49,3,28,758,,
,10.3.3,Number of children (more than 10 years old) given TT10,TOTAL,2,16,18,701,406,295,467,758,632,43,7,7,3352,,
,10.3.4,Number of children (more than 16 years old) given TT16,TOTAL,3,5,3,444,79,82,519,209,367,115,8,6,1840,,
,10.3.5.a,Number of cases of Abscess reported following immunisation [Adverse Event Following Immunisation (AEFI)],TOTAL,1,1,1,,1,4,,,,2,,,10,,
,10.3.5.b,Number of cases of Death reported following immunisation [Adverse Event Following Immunisation (AEFI)],TOTAL,,,,,,,,,,,,,,,
,10.3.5.c,Number of cases of other complications reported following immunisation [Adverse Event Following Immunisation (AEFI)],TOTAL,12,10,6,10,10,5,6,2,9,9,8,16,103,,
,10.4.1,Number of Immunisation sessions planned to be held during the month,TOTAL,232,245,234,198,232,232,239,284,278,279,261,197,2911,,
,10.4.2,Number of Immunisation sessions held during the month,TOTAL,213,226,215,189,204,220,222,250,264,256,247,184,2690,,
,10.4.3,Number of Immunisation sessions held during the month where ASHAs were present,TOTAL,128,157,140,119,136,127,143,189,196,94,166,128,1723,,
,10.5.1,Number of children (more than 16 months old) received Japanese Encephalitis (JE) vaccination,TOTAL,,,,,,,,,,,,,,,
,11.1.1,Number of children (9 months to 5 years old) administered 1st dose of Vitamin A (Dose-1),TOTAL,511,462,488,543,393,489,465,417,421,366,472,345,5372,,
,11.1.2,Number of children (9 months to 5 years old) were administered 5th dose of Vitamin A (Dose-5),TOTAL,619,344,162,201,85,230,669,1797,406,470,188,211,5382,,
,11.1.3,Number of children (9 months to 5 years old) administered 9th dose of Vitamin A (Dose-9),TOTAL,855,277,17,45,25,28,269,1425,201,402,59,6,3609,,
,12.1,Number of cases of Diptheria reported in children below 5 years of age,TOTAL,,,,,,,,,,,,,,,
,12.2,Number of cases of Pertusis reported in children below 5 years of age,TOTAL,,,,,,,,,,,,,,,
,12.3,Number of cases of Tetanus neonatarum reported in children below 5 years of age,TOTAL,,,,,,,,,,,,,,,
,12.4,Number of cases of Tetanus other than neonatarum reported in children below 5 years of age,TOTAL,,,,,,,,,,,,,,,
,12.5,Number of cases of Polio reported in children below 5 years of age,TOTAL,,,,,,,,,,,,,,,
,12.6,Number of cases of Measles reported in children below 5 years of age,TOTAL,7,2,7,4,1,,1,,,,,,22,,
,12.7,Number of cases of Diarrhoea and Dehydration reported in children below 5 years of age,TOTAL,190,296,185,170,148,294,234,291,279,164,166,213,2630,,
,12.8,Number of cases of Malaria reported in children below 5 years of age,TOTAL,13,7,39,59,48,130,52,22,43,42,57,7,519,,
,12.9,Number of children below 5 years of age admitted with Respiratory Infections,TOTAL,134,176,142,291,258,262,212,169,172,218,185,111,2330,,
,13.1,Number of Patients operated for cataract,TOTAL,46,70,60,56,17,40,41,27,,50,50,51,508,,
,13.2,Number of Intraocular Lens(IOL) implantations,TOTAL,46,70,60,55,16,39,41,27,,,,50,404,,
,13.3,Number of School children detected with Refractive errors,TOTAL,1,,27,99,89,105,110,48,25,42,52,2,600,,
,13.4,Number of children provided free glasses,TOTAL,1,,12,5,54,155,144,,16,30,33,24,474,,
,13.5,Number of eyes collected through eye donation,TOTAL,,,,,,,,,,,,,,,
,13.6,Number of eyes utilised for corneal transplant,TOTAL,,,,,,,,,,,,,,,
,14.01,Number of CHC or SDH or DH functioning as First Referral units (FRUs),TOTAL,10,11,10,5,5,5,5,4,4,4,4,5,-1,,
,14.02,Number of PHCs functioning 24X7 with atleast 3 Staff Nurses,TOTAL,22,22,22,22,23,23,22,23,22,22,22,15,-1,,
,14.03,Number of Anganwadi centres reported to have conducted VHNDs,TOTAL,147,163,120,131,142,143,154,185,165,168,170,196,-1,,
,14.04,Number of facilities having a Rogi Kalyan Samiti (RKS),TOTAL,28,28,28,28,28,28,28,28,28,28,28,17,-1,,
,14.05,Number of RKS meetings held during the month,TOTAL,4,2,1,4,1,1,1,7,12,2,2,5,42,,
,14.06,Number of facilities having Ambulance services (Assured Referral Services),TOTAL,16,28,27,22,23,23,22,28,29,29,27,13,-1,,
,14.07,Total Number of times the Ambulance was used for transporting patients during the month,TOTAL,352,299,345,362,347,371,429,359,437,307,436,396,4440,,
,14.08,Number of Institutions having Operational Sick New Born and Child Care Units (SNCU),TOTAL,5,6,5,4,4,4,4,4,4,4,4,4,-1,,
,14.09,Number of functional Laproscopes in CHC/SDH/DH,TOTAL,6,7,7,6,6,6,6,6,6,,,,-1,,
,14.10.1.a,Number of male patients admitted (Inpatients) during the month,1. Children,553,517,672,824,648,709,596,642,568,735,536,493,7493,,
,,,2. Adults,1291,1402,1547,1547,1436,1390,1497,1238,1348,1368,1187,1287,16538,,
,14.10.1.b,Number of female patients (Inpatients) admitted during the month,1. Children,499,555,534,645,638,698,508,540,492,521,501,417,6548,,
,,,2. Adults,1404,1562,1790,1672,1479,1558,1639,1581,1617,1470,1422,1616,18810,,
,14.10.1.c,Total number of patients admitted (Inpatients) during the month (sum of items 14.10.1.a and 14.10.1.b),1. Children,1052,1072,1206,1469,1286,1407,1104,1182,1060,1256,1037,910,14041,,
,,,2. Adults,2695,2964,3337,3219,2915,2948,3136,2819,2965,2838,2609,2903,35348,,
,14.10.2.a,Number of death cases of Inpatient males,TOTAL,50,59,63,72,67,65,69,61,62,51,47,39,705,,
,14.10.2.b,Number of death cases of Inpatient females,TOTAL,28,30,32,42,26,30,46,36,37,50,40,28,425,,
,14.10.2.c,Number of cases of death of Inpatients (sum of items 14.10.2.a and 14.10.2.b),TOTAL,78,89,95,114,93,95,115,97,99,101,87,67,1130,,
,14.11,In-Patient Head Count at midnight,TOTAL,890,993,1228,1794,1575,1543,1408,1784,1336,1593,1068,1234,16446,,
,14.12.1,OPD attendance (All),TOTAL,74250,88867,94449,138495,113285,100418,106188,93311,105319,101524,98845,124973,1239924,,
,14.13.1,Number of major operations carried out using general or spinal anaesthesia,TOTAL,192,275,223,250,211,214,222,212,164,199,184,217,2563,,
,14.13.1A,"Out of 14.13.1,Gynecology- Hysterectomy surgeries",TOTAL,,,,,,,,,,,,,,,
,14.13.2,Number of minor operations carried out without anaesthesia or using local anaesthesia,TOTAL,710,328,312,346,137,220,293,187,325,225,234,287,3604,,
,14.14.a,Number of patients given AYUSH treatment,TOTAL,1221,2260,2390,2612,2315,3239,4134,5566,6150,7140,6624,5446,49097,,
,14.14.b,Number of patients on whom Dental Procedure was conducted,TOTAL,286,428,572,566,358,247,376,1025,421,375,416,439,5509,,
,14.14.c,Number of Adolescents counselled,TOTAL,48,49,70,181,119,122,11,12,56,7,4,63,742,,
,15.1.1.a,Number of Haemoglobin (Hb) tests conducted,TOTAL,6389,6841,8053,8972,8545,8922,8752,8841,9912,7948,7854,23472,114501,,
,15.1.1.b,"Out of the total number of Hb tests conducted, number of cases having Hb less than 7gm/dl",TOTAL,540,572,365,779,551,541,544,657,461,407,411,184,6012,,
,15.1.2.a,Number of HIV tests conducted on males,1. Number tested,407,455,415,467,382,407,458,457,521,525,839,913,6246,,
,,,2. Number Positive,,,,,,,,,,,2,3,5,,
,15.1.2.b,Number of HIV tests conducted on Female-Non ANC (i.e. non pregnant females),1. Number tested,104,145,185,233,220,184,140,147,224,151,164,287,2184,,
,,,2. Number Positive,,,,,,,1,,,,1,,2,,
,15.1.2.c,Number of HIV tests conducted on Female with ANC (i.e. pregnant females),1. Number tested,279,301,304,347,309,282,313,305,362,309,530,460,4101,,
,,,2. Number Positive,,,,,,,,,,,,2,2,,
,15.1.2.d,Total number of HIV tests conducted (sum of items 15.1.2.a to 15.1.2.c),1. Number tested,790,901,904,1047,911,873,911,909,1107,985,1533,1660,12531,,
,,,2. Number Positive,,,,,,,1,,,,3,5,9,,
,15.2,Number of Widal tests conducted,Number tested,857,937,982,1110,755,728,1340,1156,1057,922,932,833,11609,,
,15.3.a,Number of VDRL tests conducted on males,Number tested,508,453,330,558,266,417,475,419,479,514,414,522,5355,,
,15.3.b,Number of VDRL tests conducted on Female-Non ANC (i.e. non pregnant females),Number tested,59,38,27,112,89,111,107,54,91,78,260,139,1165,,
,15.3.c,Number of VDRL tests conducted on Female with ANC (i.e. pregnant females),Number tested,426,362,309,462,240,362,353,591,358,552,607,459,5081,,
,15.3.d,Total number of VDRL tests conducted (sum of items 15.3.a to 15.3.c),Number tested,993,853,666,1132,595,890,935,1064,928,1144,1281,1120,11601,,
,15.4.1,Number of blood smears examined for Malaria,TOTAL,3794,3882,4874,7704,4763,5066,3886,3763,3453,3212,2841,3471,50709,,
,15.4.2,"Out of blood smears examined for malaria, number of blood smears tested positive for Plasmodium Vivax",TOTAL,82,76,55,81,89,67,61,73,66,55,56,52,813,,
,15.4.3,"Out of blood smears examined for malaria, number of blood smears tested positive for Plasmodium Falciparum",TOTAL,54,43,38,58,52,78,104,76,55,32,25,52,667,,
,16.1.1,Stock position of DPT vaccines,1. Balance From Previous Month,4448,6798,6493,9170,10073,7441,5598,6388,5887,4445,3689,5436,75866,,
,,,2. Stocks Received,3850,1250,4050,2775,930,2070,2250,2950,600,1730,4180,1020,27655,,
,,,3. Unusable Stock,283,332,160,270,380,226,318,300,191,226,112,239,3037,,
,,,4. Stock Distributed,1217,1223,1213,1602,3182,3687,1569,2577,1851,2260,2931,1261,24573,,
,,,5. Total Stock,6798,6493,9170,10073,7441,5598,5961,6461,4445,3689,4826,4956,75911,,
,16.1.1A,Stock Position of Pentavalent,1. Balance From Previous Month,,,,,,,,,,,,,,,
,,,2. Stocks Received,,,,,,,,,,,,,,,
,,,3. Unusable Stock,,,,,,,,,,,,,,,
,,,4. Stock Distributed,,,,,,,,,,,,,,,
,,,5. Total Stock,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,16.1.2,Stock position of OPV vaccines,1. Balance From Previous Month,3338,4368,3236,5309,5085,4348,3038,2198,4262,6449,6042,10258,57931,,
