state,id,para,total,April,May,June,July,August,September,October,November,December,January,February,March,Total
,2.1.3,Number of mothers paid JSY incentive for deliveries conducted at home,TOTAL,1,,22,2,2,3,1,2,2,2,1,1,39
,2.2,Deliveries conducted at Public Institutions (Including C-Sections),TOTAL,320,436,321,382,315,399,431,394,381,388,317,388,4472
,2.2.1,"Out of 2.2, Number discharged under 48 hours of delivery",TOTAL,246,396,321,430,282,353,391,318,306,308,278,299,3928
,2.2.2.a,Number of mothers paid JSY Incentive for deliveries conducted at Public Institutions,TOTAL,1,34,58,1,3,16,2,2,17,243,9,103,489
,2.2.2.b,Number of ASHAs paid JSY Incentive for deliveries conducted at Public Institutions,TOTAL,,27,,2,2,24,2,15,,4,4,,80
,2.2.2.c,Number of cases of deliveries conducted at Public Institutions where JSY incentive was paid to ANMs or AWWs [only for High Performing States (HPS)],TOTAL,,,2,,,,1,,,,,,3
,2.3,Deliveries conducted at Private Institutions (Including C-Sections),TOTAL,,,,,,,,,,,,,
,2.3.1.a,Number of mothers paid JSY Incentive for deliveries conducted at accredited Private Institutions,TOTAL,,3,,,,,,,,,,,3
,2.3.1.b,Number of ASHAs paid JSY Incentive for deliveries conducted at accredited Private Institutions,TOTAL,,,,,,,,,,,,,
,2.3.1.c,Number of cases of deliveries conducted at accredited Private Institutions where JSY incentive was paid to ANMs or AWWs [only for High Performing States (HPS)],TOTAL,,,,,,,,,,,,,
,3.1.1,Number of Caesarean (C-Section) deliveries performed at PHCs (Primary Health Centre),TOTAL,2,,5,19,,6,,5,3,5,,,45
,3.1.2,Number of Caesarean (C-Section) deliveries performed at CHCs (Community Health Centre),TOTAL,,,22,26,,,,,,,,,48
,3.1.3,Number of Caesarean (C-Section) deliveries performed at SDHs (Sub-divisional Hospital) or DHs (District Hospital),TOTAL,52,48,85,69,73,73,63,76,67,67,47,74,794
,3.1.4,Number of Caesarean (C-Section) deliveries performed at other State owned public institutions,TOTAL,,,,7,,,,,,,,,7
,3.1.5,"Total Number of Caesarean (C-Section) deliveries performed at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 3.1.1 to 3.1.4)",TOTAL,54,48,112,121,73,79,63,81,70,72,47,74,894
,3.2,No. of C-section deliveries performed at Private facilities,TOTAL,,,,,,,,,,,,,
,4.1.1.a,Number of male live births,TOTAL,232,425,223,237,233,231,263,242,242,256,190,251,3025
,4.1.1.b,Number of female live births,TOTAL,197,431,198,234,212,237,239,235,234,232,187,257,2893
,4.1.1.c,Total number of male and female live births (4.1.1.a and 4.1.1.b),TOTAL,429,856,421,471,445,468,502,477,476,488,377,508,5918
,4.1.2,Number of still births,TOTAL,5,6,4,8,8,6,13,14,5,13,10,8,100
,4.1.3,Number of Abortions (spontaneous or induced),TOTAL,28,26,20,5,8,11,8,1,5,2,2,3,119
,4.2.1,Number of Newborns weighed at birth,TOTAL,429,856,310,447,427,456,493,453,447,471,368,495,5652
,4.2.2,Number of Newborns having weight less than 2.5 kg,TOTAL,69,190,127,85,74,40,101,57,69,76,66,93,1047
,4.3,Number of Newborns breast fed within 1 hour of birth,TOTAL,403,110,146,408,427,417,531,466,471,475,369,328,4551
,5.1.1,Number of cases of pregnant women with Obstetric Complications and attended at PHCs,TOTAL,16,22,71,18,13,9,13,12,9,10,1,9,203
,5.1.2,Number of cases of pregnant women with Obstetric Complications and attended at CHCs,TOTAL,1,,,10,4,14,10,3,,3,,4,49
,5.1.3,Number of cases of pregnant women with Obstetric Complications and attended at SDHs or DHs,TOTAL,,48,10,1,1,1,2,,,2,8,12,85
,5.1.4,Number of cases of pregnant women with Obstetric Complications and attended at other State owned public institutions,TOTAL,,,,,,,,,,,,,
,5.1.5,"Number of cases of pregnant women with Obstetric Complications and attended at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 5.1.1 to 5.1.4)",TOTAL,17,70,81,29,18,24,25,15,9,15,9,25,337
,5.2,Number of cases of pregnant women with Obstetric Complications and attended at Private facilities,TOTAL,,,,11,11,9,,,12,11,,,54
,5.3.1,Number of cases of complicated pregnancies treated with IV antibiotics,TOTAL,17,7,11,7,11,8,16,21,22,28,21,39,208
,5.3.2,Number of cases of complicated pregnancies treated with IV Antihypertensive/Magsulph injection,TOTAL,5,3,4,6,7,7,2,9,12,10,3,14,82
,5.3.3,Number of cases of complicated pregnancies treated with IV Oxytocis,TOTAL,31,,10,16,1,8,37,20,29,23,23,35,233
,5.3.4,Number of cases of complicated pregnancies treated with Blood Transfusion,TOTAL,1,,,239,36,37,37,39,31,24,23,45,512
,6.1,Women getting post partum check-up within 48 hours after delivery,TOTAL,443,461,375,213,409,442,478,452,478,433,367,399,4950
,6.2,Women getting a post partum check up between 48 hours and 14 days after delivery,TOTAL,200,676,182,164,128,143,145,115,151,84,129,141,2258
,6.3,PNC maternal complications attended,TOTAL,260,,59,,3,3,10,,,1,4,,340
,7.1.1,Number of MTPs conducted at Public Institutions up to 12 weeks of pregnancy,TOTAL,,5,1,12,7,11,9,7,13,2,10,8,85
,7.1.2,Number of MTPs conducted at Public Institutions for more than 12 weeks of pregnancy,TOTAL,1,,2,,,,,,,,,,3
,7.1.3,Total number of MTPs conducted at Public Institutions (sum of items 7.1.1 and 7.1.2),TOTAL,1,5,3,12,7,11,9,7,13,2,10,8,88
,7.2,Number of MTPs conducted at Private Facilities,TOTAL,,9,,,,,,1,,,,,10
,8.1.a,Number of new cases of RTI/STI in males for which treatment was initiated,TOTAL,100,48,47,67,44,139,39,64,57,78,32,80,795
,8.1.b,Number of new cases of RTI/STI in females for which treatment was initiated,TOTAL,123,78,100,131,74,218,121,131,124,152,45,147,1444
,8.1.c,Total number of new cases of RTI/STI in males and females for which treatment was initiated (sum of items 8.1.a and 8.1.b),TOTAL,223,126,147,198,118,357,160,195,181,230,77,227,2239
,8.2,Number of suspected RTI/STI cases for whom wet mount test was conducted,TOTAL,,14,,,,,,,,,,,14
,9.1.1.a,Number of NSV (No Scalpel Vasectomy) or Conventional Vasectomy conducted at PHCs,TOTAL,,,,3,3,,,,,,,,6
,9.1.1.b,Number of NSV or Conventional Vasectomy conducted at CHCs,TOTAL,,,,,,,,,,,,,
,9.1.1.c,Number of NSV or Conventional Vasectomy conducted at SDHs or DHs,TOTAL,,,,,,,,,,,,,
,9.1.1.d,Number of NSV or Conventional Vasectomy conducted at other State owned public institutions,TOTAL,,,,,,,,,,,,,
,9.1.1.e,"Total Number of NSV or Conventional Vasectomy conducted at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 9.1.1.a to 9.1.1.d)",TOTAL,,,,3,3,,,,,,,,6
,9.1.2,Number of NSV or Conventional Vasectomy conducted at Private facilities,TOTAL,,,,,,,,,,,,,
,9.2.1.a,Number of Laparoscopic sterilizations conducted at PHCs,TOTAL,,,,,,,,,,,,,
,9.2.1.b,Number of Laparoscopic sterilizations conducted at CHCs,TOTAL,,,,,,,,,,,,,
,9.2.1.c,Number of Laparoscopic sterilizations conducted at SDHs or DHs,TOTAL,41,41,70,52,25,46,44,36,25,,37,52,469
,9.2.1.d,Number of Laparoscopic sterilizations conducted at other State owned public institutions,TOTAL,,,,,,,,,,,,,
,9.2.1.e,"Total Number of Laparoscopic sterilizations conducted at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 9.2.1.a to 9.2.1.d)",TOTAL,41,41,70,52,25,46,44,36,25,,37,52,469
,9.2.2,Number of Laparoscopic sterilizations conducted at Private facilities,TOTAL,,,,,,,,,,,,,
,9.3.1.a,Number of Mini-lap sterilizations conducted at PHCs,TOTAL,,,1,,,,,,99,8,5,3,116
,9.3.1.b,Number of Mini-lap sterilizations conducted at CHCs,TOTAL,,,,,,,,,,,,,
,9.3.1.c,Number of Mini-lap sterilizations conducted at SDHs or DHs,TOTAL,4,35,7,7,7,,20,18,6,17,12,13,146
,9.3.1.d,Number of Mini-lap sterilizations conducted at other State owned public institutions,TOTAL,,,,,,,,,,,,,
,9.3.1.e,"Total Number of Mini-lap sterilizations conducted at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 9.3.1.a to 9.3.1.d)",TOTAL,4,35,8,7,7,,20,18,105,25,17,16,262
,9.3.2,Number of Mini-lap sterilizations conducted at Private facilities,TOTAL,,,,,,,,,,,,,
,9.4.1.a,Number of Post-Partum sterilizations conducted at PHCs,TOTAL,,,,,,,,,,,,,
,9.4.1.b,Number of Post-Partum sterilizations conducted at CHCs,TOTAL,,,,,,,,,,,,,
,9.4.1.c,Number of Post-Partum sterilizations conducted at SDHs or DHs,TOTAL,14,2,,19,9,8,,6,22,,8,,88
,9.4.1.d,Number of Post-Partum sterilizations conducted at other State owned public institutions,TOTAL,,,,,,,,,,,,,
,9.4.1.e,"Total Number of Post-Partum sterilizations conducted at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 9.4.1.a to 9.4.1.d)",TOTAL,14,2,,19,9,8,,6,22,,8,,88
,9.4.2,Number of Post-Partum sterilizations conducted at Private facilities,TOTAL,,,,,,,,,,,,,
,9.5.1.a,Number of IUCD Insertions conducted at SCs,TOTAL,8,108,42,14,19,9,15,12,13,7,7,9,263
,9.5.1.b,Number of IUCD Insertions conducted at PHCs,TOTAL,6,89,47,18,25,11,14,14,31,8,7,11,281
,9.5.1.c,Number of IUCD Insertions conducted at CHCs,TOTAL,4,34,11,13,8,6,7,1,4,6,1,5,100
,9.5.1.d,Number of IUCD Insertions conducted at SDHs or DHs,TOTAL,14,22,13,11,9,8,16,12,4,,9,13,131
,9.5.1.e,Number of IUCD Insertions conducted at other State owned public institutions,TOTAL,,,10,,,,,,,,,,10
,9.5.1.f,"Total Number of IUCD Insertions conducted at Public facilities i.e. SC, PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 9.5.1.a to 9.5.1.e)",TOTAL,32,253,123,56,61,34,52,39,52,21,24,38,785
,9.5.1A,"Out of above total, Post Partum (within 48 hours of delivery) IUCD insertions",TOTAL,,,,,,,,,,,,,
,9.5.2,Number of IUCD Insertions conducted at Private facilities,TOTAL,,,,,,,,2,,,,,2
,9.06,Number of IUCD removals,TOTAL,63,11,32,54,28,63,38,47,22,21,22,158,559
,9.07,Number of Oral Pills cycles distributed,TOTAL,1923,2377,1661,1907,1704,1666,1566,1711,1856,1778,1545,1679,21373
,9.08,Number of Condom pieces distributed,TOTAL,6851,17687,22600,11391,8896,9012,7794,8035,7217,4925,5557,3674,113639
,9.09,Number of Centchroman (weekly) pills given,TOTAL,2,,5,,,180,12,,18,,,,217
,9.1,Number of Emergency Contraceptive Pills distributed,TOTAL,5,1200,19,7,10,13,97,15,1,6,3,3,1379
,9.11.1.a,Number of cases of complications following male sterilization,TOTAL,,,,,,,,,,,,,
,9.11.1.b,Number of cases of complications following female sterilization,TOTAL,,,1,,,1,,,,,1,,3
,9.11.2.a,Number of failures following male sterilization,TOTAL,,,,,,,,,,,,,
,9.11.2.b,Number of failures following female sterilization,TOTAL,,,,,1,2,,,1,,1,,5
,9.11.3.a,Number of deaths following male sterilization,TOTAL,,,,,,,,,,,,,
,9.11.3.b,Number of deaths following female sterilization,TOTAL,,,,,,,,,,,,,
,9.12,Number of Institutions having NSV trained doctors,TOTAL,9,5,4,,,,,,1,,,1,-1
,10.1.01,Number of Infants (0 to 11 months old)received BCG immunisation,TOTAL,472,343,485,260,456,410,486,505,464,402,412,500,5195
,10.1.02,Number of Infants (0 to 11 months old) received DPT1 immunisation,TOTAL,356,756,402,350,385,370,320,363,423,389,337,411,4862
,10.1.03,Number of Infants (0 to 11 months old) received DPT2 immunisation,TOTAL,357,740,324,391,382,390,328,366,368,392,352,405,4795
,10.1.04,Number of Infants (0 to 11 months old) received DPT3 immunisation,TOTAL,403,727,291,362,457,361,353,365,378,361,313,421,4792
,10.1.04A,Number of Infants (0 to 11 months old) received Pentavalent1 immunisation,TOTAL,,,,,,,,,,,,,
,10.1.04B,Number of Infants (0 to 11 months old) received Pentavalent2 immunisation,TOTAL,,,,,,,,,,,,,
,10.1.04C,Number of Infants (0 to 11 months old) received Pentavalent3 immunisation,TOTAL,,,,,,,,,,,,,
,10.1.05,Number of Infants (0 to 11 months old) received OPV 0 (Birth Dose),TOTAL,467,801,440,222,412,399,502,489,455,392,400,492,5471
,10.1.06,Number of Infants (0 to 11 months old) received OPV1 (First Dose),TOTAL,351,757,384,348,391,365,313,361,463,390,337,451,4911
,10.1.07,Number of Infants (0 to 11 months old) received OPV2 (Second Dose),TOTAL,352,732,327,390,380,392,323,351,369,390,352,406,4764
,10.1.08,Number of Infants (0 to 11 months old) received OPV3 (Third Dose),TOTAL,405,727,307,398,457,365,355,357,380,361,314,419,4845
,10.1.09A,Number of Infants (upto 48 hrs of age) received Hepatitis-B0 immunisation,TOTAL,,,,,,,,,,,,,
,10.1.09,Number of Infants (0 to 11 months old) received Hepatitis-B1 immunisation,TOTAL,277,242,330,334,386,376,281,341,424,392,295,272,3950
,10.1.10,Number of Infants (0 to 11 months old) received Hepatitis-B2 immunisation,TOTAL,311,216,298,376,374,397,313,346,377,398,326,268,4000
,10.1.11,Number of Infants (0 to 11 months old) received Hepatitis-B3 immunisation,TOTAL,367,699,265,518,504,475,435,334,373,372,306,276,4924
,10.1.12,Number of Infants (0 to 11 months old) received Measles immunisation (First Dose),TOTAL,357,690,283,439,474,361,393,401,393,366,340,235,4732
,10.1.12B,Number of Infants (more than 16 months old) received Measles immunisation (Second Dose),TOTAL,,,,,,,,,,,,,
,10.1A,No. of Children aged 9 to 12 months who received JE 1st dose,TOTAL,,,,,,,,,,,,,
,10.1.13.a,Total number of male children (9 to 11 months old) fully immunised (BCG+DPT123/Pentavalent123+OPV123+Measles) during the month,TOTAL,288,169,405,266,341,342,404,385,473,387,333,249,4042
,10.1.13.b,Total number of female children (9 to 11 months old) fully immunised (BCG+DPT123/Pentavalent123+OPV123+Measles) during the month,TOTAL,258,171,362,261,308,348,408,408,423,380,352,233,3912
,10.1.13.c,Total number of children (9 to 11 months old) fully immunised (BCG+DPT123/Pentavalent123+OPV123+Measles) during the month (sum of items 10.1.13.a and 10.1.13.b),TOTAL,546,340,767,527,649,690,812,793,896,767,685,482,7954
,10.2.1,Number of Infants (more than 16 months old) received DPT Booster dose,TOTAL,356,408,284,348,354,278,338,429,340,294,312,394,4135
,10.2.2,Number of Infants (more than 16 months old) received OPV Booster dose,TOTAL,356,408,284,347,354,280,334,429,337,302,313,394,4138
,10.2.3,"Number of Infants (more than 16 months old) received Measles, Mumps, Rubella (MMR) Vaccination",TOTAL,14,229,69,42,48,32,50,26,10,30,33,8,591
,10.3.1.a,Total number of male children (12 to 23 months old) fully immunised (BCG+DPT123/Pentavalent123+OPV123+Measles) during the month,TOTAL,133,308,252,87,303,265,124,256,290,253,228,91,2590
,10.3.1.b,Total number of female children (12 to 23 months old) fully immunised (BCG+DPT123/Pentavalent123+OPV123+Measles) during the month,TOTAL,122,345,167,89,273,266,91,280,270,259,256,74,2492
,10.3.1.c,Total number of children (12 to 23 months old) fully immunised (BCG+DPT123+OPV123/Pentavalent123+Measles) during the month (sum of items 10.3.1.a and 10.3.1.b),TOTAL,255,653,419,176,576,531,215,536,560,512,484,165,5082
,10.3.2,Number of children (more than 5 years old) given DT5,TOTAL,198,23,10,46,187,223,400,415,321,528,126,25,2502
,10.3.3,Number of children (more than 10 years old) given TT10,TOTAL,416,154,16,24,332,836,1112,2344,891,81,250,1,6457
,10.3.4,Number of children (more than 16 years old) given TT16,TOTAL,243,107,23,10,181,678,694,1818,864,51,358,5,5032
,10.3.5.a,Number of cases of Abscess reported following immunisation [Adverse Event Following Immunisation (AEFI)],TOTAL,,,5,,,,,,8,,,1,14
,10.3.5.b,Number of cases of Death reported following immunisation [Adverse Event Following Immunisation (AEFI)],TOTAL,,,,,,,,,8,,,,8
,10.3.5.c,Number of cases of other complications reported following immunisation [Adverse Event Following Immunisation (AEFI)],TOTAL,1,2,7,1,1,,,,,,,,12
,10.4.1,Number of Immunisation sessions planned to be held during the month,TOTAL,522,754,280,648,604,524,501,503,535,484,445,475,6275
,10.4.2,Number of Immunisation sessions held during the month,TOTAL,489,721,348,621,600,534,477,495,565,497,460,481,6288
,10.4.3,Number of Immunisation sessions held during the month where ASHAs were present,TOTAL,31,161,112,99,95,103,64,106,139,129,190,166,1395
,10.5.1,Number of children (more than 16 months old) received Japanese Encephalitis (JE) vaccination,TOTAL,,,,,,,,,,,,,
,11.1.1,Number of children (9 months to 5 years old) administered 1st dose of Vitamin A (Dose-1),TOTAL,364,526,312,414,450,352,355,435,380,341,319,336,4584
,11.1.2,Number of children (9 months to 5 years old) were administered 5th dose of Vitamin A (Dose-5),TOTAL,1259,302,171,145,182,147,835,2674,321,169,120,150,6475
,11.1.3,Number of children (9 months to 5 years old) administered 9th dose of Vitamin A (Dose-9),TOTAL,1727,317,122,19,17,23,330,4820,76,27,24,17,7519
,12.1,Number of cases of Diptheria reported in children below 5 years of age,TOTAL,21,,,,,,34,,,,,,55
,12.2,Number of cases of Pertusis reported in children below 5 years of age,TOTAL,,,,,,,,,,,,,
,12.3,Number of cases of Tetanus neonatarum reported in children below 5 years of age,TOTAL,,,,,,,,,,,,,
,12.4,Number of cases of Tetanus other than neonatarum reported in children below 5 years of age,TOTAL,,,,,,,,,,,,,
,12.5,Number of cases of Polio reported in children below 5 years of age,TOTAL,,,,,,,,,,,,,
,12.6,Number of cases of Measles reported in children below 5 years of age,TOTAL,,4,,9,11,3,,14,1,,17,3,62
,12.7,Number of cases of Diarrhoea and Dehydration reported in children below 5 years of age,TOTAL,548,423,297,355,251,347,315,320,289,214,217,266,3842
,12.8,Number of cases of Malaria reported in children below 5 years of age,TOTAL,60,48,96,76,55,345,62,181,152,9,22,22,1128
,12.9,Number of children below 5 years of age admitted with Respiratory Infections,TOTAL,48,157,222,137,153,154,165,187,166,117,134,146,1786
,13.1,Number of Patients operated for cataract,TOTAL,3,47,8,1209,22,26,1,1,21,80,5,85,1508
,13.2,Number of Intraocular Lens(IOL) implantations,TOTAL,3,47,7,59,18,1,1,17,1,3,5,7,169
,13.3,Number of School children detected with Refractive errors,TOTAL,5,3,26,223,372,211,73,95,184,182,593,278,2245
,13.4,Number of children provided free glasses,TOTAL,2,8,,185,312,50,41,63,61,67,34,44,867
,13.5,Number of eyes collected through eye donation,TOTAL,,,,,,,,,,,,,
,13.6,Number of eyes utilised for corneal transplant,TOTAL,,,,,,,,,,,,,
,14.01,Number of CHC or SDH or DH functioning as First Referral units (FRUs),TOTAL,5,4,4,4,3,2,3,2,3,4,6,4,-1
,14.02,Number of PHCs functioning 24X7 with atleast 3 Staff Nurses,TOTAL,10,21,10,9,9,8,6,10,8,7,6,5,-1
,14.03,Number of Anganwadi centres reported to have conducted VHNDs,TOTAL,126,178,168,167,184,131,125,139,167,139,113,131,-1
,14.04,Number of facilities having a Rogi Kalyan Samiti (RKS),TOTAL,24,31,24,25,25,24,24,24,24,19,21,20,-1
,14.05,Number of RKS meetings held during the month,TOTAL,12,16,6,21,16,11,12,15,11,7,15,7,149
,14.06,Number of facilities having Ambulance services (Assured Referral Services),TOTAL,12,26,20,24,25,11,8,11,8,17,22,18,-1
,14.07,Total Number of times the Ambulance was used for transporting patients during the month,TOTAL,212,125,157,288,255,368,323,434,530,482,434,511,4119
,14.08,Number of Institutions having Operational Sick New Born and Child Care Units (SNCU),TOTAL,2,11,5,4,,1,1,3,1,3,3,4,-1
,14.09,Number of functional Laproscopes in CHC/SDH/DH,TOTAL,2,8,6,,,,,,,,,,-1
,14.10.1.a,Number of male patients admitted (Inpatients) during the month,1. Children,347,139,555,340,323,329,406,303,268,215,332,286,3843
,,,2. Adults,896,991,1401,1239,1238,1042,862,918,744,667,601,734,11333
,14.10.1.b,Number of female patients (Inpatients) admitted during the month,1. Children,239,149,439,359,244,269,288,269,210,192,270,246,3174
,,,2. Adults,872,625,1429,888,830,984,847,908,798,692,614,786,10273
,14.10.1.c,Total number of patients admitted (Inpatients) during the month (sum of items 14.10.1.a and 14.10.1.b),1. Children,586,288,994,699,567,598,694,572,478,407,602,532,7017
,,,2. Adults,1768,1616,2830,2127,2068,2026,1709,1826,1542,1359,1215,1520,21606
,14.10.2.a,Number of death cases of Inpatient males,TOTAL,11,7,54,34,46,12,67,50,48,44,47,57,477
,14.10.2.b,Number of death cases of Inpatient females,TOTAL,13,8,25,17,31,13,34,32,22,41,23,32,291
,14.10.2.c,Number of cases of death of Inpatients (sum of items 14.10.2.a and 14.10.2.b),TOTAL,24,15,79,51,77,25,101,82,70,85,70,89,768
,14.11,In-Patient Head Count at midnight,TOTAL,257,287,448,13443,1985,1117,784,1170,1246,743,840,673,22993
,14.12.1,OPD attendance (All),TOTAL,79081,41513,87886,83859,88260,99589,97813,92396,73586,65256,57111,70169,936519
,14.13.1,Number of major operations carried out using general or spinal anaesthesia,TOTAL,3,2,152,7,1,12,5,32,6,24,16,22,282
,14.13.1A,"Out of 14.13.1,Gynecology- Hysterectomy surgeries",TOTAL,,,,,,,,,,,,,
,14.13.2,Number of minor operations carried out without anaesthesia or using local anaesthesia,TOTAL,33,19,419,23,36,37,28,46,28,29,19,52,769
,14.14.a,Number of patients given AYUSH treatment,TOTAL,1241,,1,2062,1861,1251,1242,1284,1453,1452,2274,1879,16000
,14.14.b,Number of patients on whom Dental Procedure was conducted,TOTAL,147,46,,216,296,360,151,286,292,32,129,66,2021
,14.14.c,Number of Adolescents counselled,TOTAL,242,,1,411,721,366,303,456,81,357,353,200,3491
,15.1.1.a,Number of Haemoglobin (Hb) tests conducted,TOTAL,5592,3701,3606,7838,7951,8000,6986,7349,8609,6060,4029,6098,75819
,15.1.1.b,"Out of the total number of Hb tests conducted, number of cases having Hb less than 7gm/dl",TOTAL,734,593,358,431,560,670,447,613,933,661,336,667,7003
,15.1.2.a,Number of HIV tests conducted on males,1. Number tested,483,262,929,774,749,481,433,366,409,365,329,324,5904
,,,2. Number Positive,1,,1,,,,1,,,,,,3
,15.1.2.b,Number of HIV tests conducted on Female-Non ANC (i.e. non pregnant females),1. Number tested,178,86,205,243,223,233,170,147,89,127,110,131,1942
,,,2. Number Positive,,,,1,,,,,,,,,1
,15.1.2.c,Number of HIV tests conducted on Female with ANC (i.e. pregnant females),1. Number tested,222,154,561,491,370,260,212,209,205,305,126,239,3354
,,,2. Number Positive,,,,,,,,,,,,,
,15.1.2.d,Total number of HIV tests conducted (sum of items 15.1.2.a to 15.1.2.c),1. Number tested,883,502,1695,1508,1342,974,815,722,703,797,565,694,11200
,,,2. Number Positive,1,,1,1,,,1,,,,,,4
,15.2,Number of Widal tests conducted,Number tested,1214,612,612,1423,1576,1479,1682,1847,1448,1295,1001,1251,15440
,15.3.a,Number of VDRL tests conducted on males,Number tested,435,76,595,477,656,412,382,340,323,312,249,315,4572
,15.3.b,Number of VDRL tests conducted on Female-Non ANC (i.e. non pregnant females),Number tested,113,139,138,159,159,125,81,104,84,45,43,70,1260
,15.3.c,Number of VDRL tests conducted on Female with ANC (i.e. pregnant females),Number tested,275,87,265,306,336,316,272,240,228,337,209,295,3166
,15.3.d,Total number of VDRL tests conducted (sum of items 15.3.a to 15.3.c),Number tested,823,302,998,942,1151,853,735,684,635,694,501,680,8998
,15.4.1,Number of blood smears examined for Malaria,TOTAL,3427,3409,5563,8345,7792,6163,10222,5204,4685,3044,2728,4221,64803
,15.4.2,"Out of blood smears examined for malaria, number of blood smears tested positive for Plasmodium Vivax",TOTAL,92,229,294,228,224,298,88,193,196,41,57,87,2027
,15.4.3,"Out of blood smears examined for malaria, number of blood smears tested positive for Plasmodium Falciparum",TOTAL,137,173,535,351,370,254,172,85,86,31,58,54,2306
,16.1.1,Stock position of DPT vaccines,1. Balance From Previous Month,1863,2119,4969,5522,5158,4568,6917,7589,10012,10192,8782,11879,79570
,,,2. Stocks Received,1000,200,1150,1810,528,5600,1450,5400,1310,500,4550,1220,24718
,,,3. Unusable Stock,31,44,252,207,85,472,685,298,285,226,293,5446,8324
,,,4. Stock Distributed,722,646,1279,1825,1151,2647,1522,2257,975,1198,1536,2418,18176
,,,5. Total Stock,2110,1629,4588,5300,4450,7049,6160,10434,10062,9268,11503,5235,77788
,16.1.1A,Stock Position of Pentavalent,1. Balance From Previous Month,,,,,,,,,,,,,
,,,2. Stocks Received,,,,,,,,,,,,,
,,,3. Unusable Stock,,,,,,,,,,,,,
,,,4. Stock Distributed,,,,,,,,,,,,,
,,,5. Total Stock,0,0,0,0,0,0,0,0,0,0,0,0,0
,16.1.2,Stock position of OPV vaccines,1. Balance From Previous Month,7127,4742,9286,8370,8239,6233,5637,4647,5686,6476,10332,22215,98990
,,,2. Stocks Received,800,400,1700,3260,1000,4600,1900,6030,1320,25900,24660,1210,72780
,,,3. Unusable Stock,206,93,515,439,577,817,1035,794,521,4182,3881,7953,21013
,,,4. Stock Distributed,1482,1022,1585,3194,2172,4433,2412,3433,1679,17088,11532,2855,52887
,,,5. Total Stock,6239,4027,8886,7997,6490,5583,4090,6450,4806,11106,19579,12617,97870
,16.1.3,Stock position of TT vaccines,1. Balance From Previous Month,6047,2996,5379,8675,9668,9948,11367,11082,11592,12376,10555,10408,110093
,,,2. Stocks Received,500,300,1000,4709,1259,5500,1000,9600,1700,,2000,1100,28668
,,,3. Unusable Stock,109,27,220,139,97,201,2028,269,201,207,44,4909,8451
,,,4. Stock Distributed,688,644,589,2461,591,4269,1360,7274,1015,933,2603,2603,25030
