state,id,para,total,April,May,June,July,August,September,October,November,December,January,February,March,Total
,5.3.3,Number of cases of complicated pregnancies treated with IV Oxytocis,TOTAL,212,203,152,165,145,138,258,212,247,226,186,210,2354
,5.3.4,Number of cases of complicated pregnancies treated with Blood Transfusion,TOTAL,17,9,23,26,26,25,21,21,15,16,11,41,251
,6.1,Women getting post partum check-up within 48 hours after delivery,TOTAL,420,491,471,399,382,411,426,398,455,390,412,418,5073
,6.2,Women getting a post partum check up between 48 hours and 14 days after delivery,TOTAL,288,243,531,298,238,221,256,239,230,219,257,239,3259
,6.3,PNC maternal complications attended,TOTAL,7,0,1,3,0,2,4,1,0,1,3,3,25
,7.1.1,Number of MTPs conducted at Public Institutions up to 12 weeks of pregnancy,TOTAL,6,4,2,2,3,10,9,10,8,15,10,16,95
,7.1.2,Number of MTPs conducted at Public Institutions for more than 12 weeks of pregnancy,TOTAL,0,0,0,0,1,7,7,1,0,0,0,0,16
,7.1.3,Total number of MTPs conducted at Public Institutions (sum of items 7.1.1 and 7.1.2),TOTAL,6,4,2,2,4,17,16,11,8,15,10,16,111
,7.2,Number of MTPs conducted at Private Facilities,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0
,8.1.a,Number of new cases of RTI/STI in males for which treatment was initiated,TOTAL,21,58,21,58,44,21,46,49,27,84,72,75,576
,8.1.b,Number of new cases of RTI/STI in females for which treatment was initiated,TOTAL,26,67,38,55,56,54,53,62,37,107,115,78,748
,8.1.c,Total number of new cases of RTI/STI in males and females for which treatment was initiated (sum of items 8.1.a and 8.1.b),TOTAL,47,125,59,113,100,75,99,111,64,191,187,153,1324
,8.2,Number of suspected RTI/STI cases for whom wet mount test was conducted,TOTAL,0,1,0,0,0,0,0,0,0,0,0,0,1
,9.1.1.a,Number of NSV (No Scalpel Vasectomy) or Conventional Vasectomy conducted at PHCs,TOTAL,0,0,0,1,0,0,1,0,0,0,0,1,3
,9.1.1.b,Number of NSV or Conventional Vasectomy conducted at CHCs,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0
,9.1.1.c,Number of NSV or Conventional Vasectomy conducted at SDHs or DHs,TOTAL,0,0,0,0,0,1,0,0,0,0,0,0,1
,9.1.1.d,Number of NSV or Conventional Vasectomy conducted at other State owned public institutions,TOTAL,,,,,,,,,,,,,
,9.1.1.e,"Total Number of NSV or Conventional Vasectomy conducted at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 9.1.1.a to 9.1.1.d)",TOTAL,0,0,0,1,0,1,1,0,0,0,0,1,4
,9.1.2,Number of NSV or Conventional Vasectomy conducted at Private facilities,TOTAL,,,,,,,,,,,,,
,9.2.1.a,Number of Laparoscopic sterilizations conducted at PHCs,TOTAL,89,0,23,14,0,92,13,29,0,0,0,0,260
,9.2.1.b,Number of Laparoscopic sterilizations conducted at CHCs,TOTAL,91,0,53,0,0,0,0,0,0,0,0,0,144
,9.2.1.c,Number of Laparoscopic sterilizations conducted at SDHs or DHs,TOTAL,72,38,19,21,41,23,25,18,44,26,31,24,382
,9.2.1.d,Number of Laparoscopic sterilizations conducted at other State owned public institutions,TOTAL,,,,,,,,,,,,,
,9.2.1.e,"Total Number of Laparoscopic sterilizations conducted at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 9.2.1.a to 9.2.1.d)",TOTAL,252,38,95,35,41,115,38,47,44,26,31,24,786
,9.2.2,Number of Laparoscopic sterilizations conducted at Private facilities,TOTAL,,,,,,,,,,,,,
,9.3.1.a,Number of Mini-lap sterilizations conducted at PHCs,TOTAL,44,0,0,0,0,0,0,0,0,0,0,0,44
,9.3.1.b,Number of Mini-lap sterilizations conducted at CHCs,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0
,9.3.1.c,Number of Mini-lap sterilizations conducted at SDHs or DHs,TOTAL,5,9,46,24,8,32,8,18,4,1,0,19,174
,9.3.1.d,Number of Mini-lap sterilizations conducted at other State owned public institutions,TOTAL,,,,,,,,,,,,,
,9.3.1.e,"Total Number of Mini-lap sterilizations conducted at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 9.3.1.a to 9.3.1.d)",TOTAL,49,9,46,24,8,32,8,18,4,1,0,19,218
,9.3.2,Number of Mini-lap sterilizations conducted at Private facilities,TOTAL,,,,,,,,,,,,,
,9.4.1.a,Number of Post-Partum sterilizations conducted at PHCs,TOTAL,1,5,0,0,2,0,0,0,0,0,0,0,8
,9.4.1.b,Number of Post-Partum sterilizations conducted at CHCs,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0
,9.4.1.c,Number of Post-Partum sterilizations conducted at SDHs or DHs,TOTAL,17,19,0,0,16,20,0,21,0,26,17,0,136
,9.4.1.d,Number of Post-Partum sterilizations conducted at other State owned public institutions,TOTAL,,,,,,,,,,,,,
,9.4.1.e,"Total Number of Post-Partum sterilizations conducted at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 9.4.1.a to 9.4.1.d)",TOTAL,18,24,0,0,18,20,0,21,0,26,17,0,144
,9.4.2,Number of Post-Partum sterilizations conducted at Private facilities,TOTAL,,,,,,,,,,,,,
,9.5.1.a,Number of IUCD Insertions conducted at SCs,TOTAL,23,22,22,53,54,20,28,33,35,32,17,13,352
,9.5.1.b,Number of IUCD Insertions conducted at PHCs,TOTAL,36,25,21,43,30,25,29,20,39,25,23,18,334
,9.5.1.c,Number of IUCD Insertions conducted at CHCs,TOTAL,3,6,4,4,6,3,5,6,12,2,3,8,62
,9.5.1.d,Number of IUCD Insertions conducted at SDHs or DHs,TOTAL,36,24,7,12,8,8,8,11,46,10,8,14,192
,9.5.1.e,Number of IUCD Insertions conducted at other State owned public institutions,TOTAL,,,,,,,,,,,,,
,9.5.1.f,"Total Number of IUCD Insertions conducted at Public facilities i.e. SC, PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 9.5.1.a to 9.5.1.e)",TOTAL,98,77,54,112,98,56,70,70,132,69,51,53,940
,9.5.1A,"Out of above total, Post Partum (within 48 hours of delivery) IUCD insertions",TOTAL,,,,,,,,,,,,,
,9.5.2,Number of IUCD Insertions conducted at Private facilities,TOTAL,,,,,,,,,,,,,
,9.06,Number of IUCD removals,TOTAL,24,116,85,37,39,38,24,27,16,61,23,30,520
,9.07,Number of Oral Pills cycles distributed,TOTAL,1643,1460,1465,1518,1561,1433,1159,1244,1406,1649,1920,1497,17955
,9.08,Number of Condom pieces distributed,TOTAL,16323,16095,16495,18960,19092,18464,14895,16523,20974,14493,15185,14653,202152
,9.09,Number of Centchroman (weekly) pills given,TOTAL,25,402,0,245,132,7,0,2,2,0,1,38,854
,9.1,Number of Emergency Contraceptive Pills distributed,TOTAL,7,29,40,21,49,48,45,24,24,49,25,23,384
,9.11.1.a,Number of cases of complications following male sterilization,TOTAL,1,0,0,0,0,0,0,0,0,0,0,0,1
,9.11.1.b,Number of cases of complications following female sterilization,TOTAL,0,1,1,12,0,0,0,0,0,1,1,0,16
,9.11.2.a,Number of failures following male sterilization,TOTAL,3,0,0,0,0,0,0,2,0,0,0,0,5
,9.11.2.b,Number of failures following female sterilization,TOTAL,4,0,1,3,0,1,1,0,1,0,0,0,11
,9.11.3.a,Number of deaths following male sterilization,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0
,9.11.3.b,Number of deaths following female sterilization,TOTAL,0,0,0,16,0,0,0,0,0,0,0,0,16
,9.12,Number of Institutions having NSV trained doctors,TOTAL,28,30,32,30,29,29,32,24,26,28,30,30,-1
,10.1.01,Number of Infants (0 to 11 months old)received BCG immunisation,TOTAL,462,484,452,444,411,429,449,450,428,413,364,401,5187
,10.1.02,Number of Infants (0 to 11 months old) received DPT1 immunisation,TOTAL,399,419,437,539,422,407,449,406,523,434,386,392,5213
,10.1.03,Number of Infants (0 to 11 months old) received DPT2 immunisation,TOTAL,406,396,412,504,443,480,467,404,466,455,392,395,5220
,10.1.04,Number of Infants (0 to 11 months old) received DPT3 immunisation,TOTAL,423,393,360,475,466,463,491,377,454,433,377,414,5126
,10.1.04A,Number of Infants (0 to 11 months old) received Pentavalent1 immunisation,TOTAL,,,,,,,,,,,,,
,10.1.04B,Number of Infants (0 to 11 months old) received Pentavalent2 immunisation,TOTAL,,,,,,,,,,,,,
,10.1.04C,Number of Infants (0 to 11 months old) received Pentavalent3 immunisation,TOTAL,,,,,,,,,,,,,
,10.1.05,Number of Infants (0 to 11 months old) received OPV 0 (Birth Dose),TOTAL,463,456,451,414,405,427,444,433,427,394,355,379,5048
,10.1.06,Number of Infants (0 to 11 months old) received OPV1 (First Dose),TOTAL,401,416,437,538,422,410,451,406,516,416,389,383,5185
,10.1.07,Number of Infants (0 to 11 months old) received OPV2 (Second Dose),TOTAL,409,392,412,505,445,479,455,405,475,456,393,392,5218
,10.1.08,Number of Infants (0 to 11 months old) received OPV3 (Third Dose),TOTAL,429,402,361,474,454,470,487,395,455,439,375,420,5161
,10.1.09A,Number of Infants (upto 48 hrs of age) received Hepatitis-B0 immunisation,TOTAL,190,240,275,235,203,272,245,261,220,221,222,217,2801
,10.1.09,Number of Infants (0 to 11 months old) received Hepatitis-B1 immunisation,TOTAL,401,424,436,536,427,410,456,405,521,417,393,380,5206
,10.1.10,Number of Infants (0 to 11 months old) received Hepatitis-B2 immunisation,TOTAL,406,393,414,505,439,484,461,400,473,458,388,389,5210
,10.1.11,Number of Infants (0 to 11 months old) received Hepatitis-B3 immunisation,TOTAL,421,394,356,477,465,470,492,383,466,427,376,421,5148
,10.1.12,Number of Infants (0 to 11 months old) received Measles immunisation (First Dose),TOTAL,409,386,370,483,428,397,435,466,407,410,524,511,5226
,10.1.12B,Number of Infants (more than 16 months old) received Measles immunisation (Second Dose),TOTAL,164,154,137,151,170,196,222,460,263,158,177,164,2416
,10.1A,No. of Children aged 9 to 12 months who received JE 1st dose,TOTAL,,,,,,,,,,,,,
,10.1.13.a,Total number of male children (9 to 11 months old) fully immunised (BCG+DPT123/Pentavalent123+OPV123+Measles) during the month,TOTAL,178,180,188,210,254,216,179,228,190,194,280,225,2522
,10.1.13.b,Total number of female children (9 to 11 months old) fully immunised (BCG+DPT123/Pentavalent123+OPV123+Measles) during the month,TOTAL,187,184,157,201,223,211,214,235,227,213,264,239,2555
,10.1.13.c,Total number of children (9 to 11 months old) fully immunised (BCG+DPT123/Pentavalent123+OPV123+Measles) during the month (sum of items 10.1.13.a and 10.1.13.b),TOTAL,365,364,345,411,477,427,393,463,417,407,544,464,5077
,10.2.1,Number of Infants (more than 16 months old) received DPT Booster dose,TOTAL,368,346,386,464,397,356,411,443,430,368,338,417,4724
,10.2.2,Number of Infants (more than 16 months old) received OPV Booster dose,TOTAL,376,338,387,464,391,356,415,431,423,379,336,412,4708
,10.2.3,"Number of Infants (more than 16 months old) received Measles, Mumps, Rubella (MMR) Vaccination",TOTAL,163,125,105,121,117,98,84,121,65,105,121,151,1376
,10.3.1.a,Total number of male children (12 to 23 months old) fully immunised (BCG+DPT123/Pentavalent123+OPV123+Measles) during the month,TOTAL,95,59,75,122,118,119,72,73,78,91,112,117,1131
,10.3.1.b,Total number of female children (12 to 23 months old) fully immunised (BCG+DPT123/Pentavalent123+OPV123+Measles) during the month,TOTAL,98,57,67,131,87,115,82,80,72,77,128,107,1101
,10.3.1.c,Total number of children (12 to 23 months old) fully immunised (BCG+DPT123+OPV123/Pentavalent123+Measles) during the month (sum of items 10.3.1.a and 10.3.1.b),TOTAL,193,116,142,253,205,234,154,153,150,168,240,224,2232
,10.3.2,Number of children (more than 5 years old) given DT5,TOTAL,37,36,31,50,286,448,422,516,168,82,76,87,2239
,10.3.3,Number of children (more than 10 years old) given TT10,TOTAL,9,3,0,83,835,925,693,1004,220,44,77,23,3916
,10.3.4,Number of children (more than 16 years old) given TT16,TOTAL,0,1,0,115,858,811,512,1822,217,53,49,3,4441
,10.3.5.a,Number of cases of Abscess reported following immunisation [Adverse Event Following Immunisation (AEFI)],TOTAL,0,0,0,0,1,0,0,0,0,1,0,0,2
,10.3.5.b,Number of cases of Death reported following immunisation [Adverse Event Following Immunisation (AEFI)],TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0
,10.3.5.c,Number of cases of other complications reported following immunisation [Adverse Event Following Immunisation (AEFI)],TOTAL,13,12,13,9,12,13,20,15,13,24,9,23,176
,10.4.1,Number of Immunisation sessions planned to be held during the month,TOTAL,325,300,339,346,295,300,312,305,315,308,275,302,3722
,10.4.2,Number of Immunisation sessions held during the month,TOTAL,294,271,310,321,281,281,287,289,324,295,259,276,3488
,10.4.3,Number of Immunisation sessions held during the month where ASHAs were present,TOTAL,151,157,161,191,165,185,159,146,180,146,136,142,1919
,10.5.1,Number of children (more than 16 months old) received Japanese Encephalitis (JE) vaccination,TOTAL,0,0,1,0,0,0,15,0,0,0,0,0,16
,11.1.1,Number of children (9 months to 5 years old) administered 1st dose of Vitamin A (Dose-1),TOTAL,412,388,366,424,431,402,438,460,371,422,473,481,5068
,11.1.2,Number of children (9 months to 5 years old) were administered 5th dose of Vitamin A (Dose-5),TOTAL,1675,634,317,252,564,334,1010,1265,321,197,153,229,6951
,11.1.3,Number of children (9 months to 5 years old) administered 9th dose of Vitamin A (Dose-9),TOTAL,2099,1341,43,18,36,194,1794,1666,232,56,21,28,7528
,12.1,Number of cases of Diptheria reported in children below 5 years of age,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0
,12.2,Number of cases of Pertusis reported in children below 5 years of age,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0
,12.3,Number of cases of Tetanus neonatarum reported in children below 5 years of age,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0
,12.4,Number of cases of Tetanus other than neonatarum reported in children below 5 years of age,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0
,12.5,Number of cases of Polio reported in children below 5 years of age,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0
,12.6,Number of cases of Measles reported in children below 5 years of age,TOTAL,2,0,4,0,1,8,15,10,1,7,8,1,57
,12.7,Number of cases of Diarrhoea and Dehydration reported in children below 5 years of age,TOTAL,230,232,431,265,346,168,160,168,128,185,177,150,2640
,12.8,Number of cases of Malaria reported in children below 5 years of age,TOTAL,3,17,18,41,11,9,15,1,1,0,7,14,137
,12.9,Number of children below 5 years of age admitted with Respiratory Infections,TOTAL,87,281,231,245,126,199,144,80,90,67,131,238,1919
,13.1,Number of Patients operated for cataract,TOTAL,64,15,33,82,53,25,69,97,9,73,85,14,619
,13.2,Number of Intraocular Lens(IOL) implantations,TOTAL,61,13,31,78,50,21,65,3,2,68,83,11,486
,13.3,Number of School children detected with Refractive errors,TOTAL,15,15,18,166,202,250,179,39,316,39,54,41,1334
,13.4,Number of children provided free glasses,TOTAL,0,5,0,15,58,171,97,4,86,14,42,6,498
,13.5,Number of eyes collected through eye donation,TOTAL,0,0,0,0,0,0,0,0,0,35,0,0,35
,13.6,Number of eyes utilised for corneal transplant,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0
,14.01,Number of CHC or SDH or DH functioning as First Referral units (FRUs),TOTAL,6,6,6,6,6,6,6,6,6,6,6,6,-1
,14.02,Number of PHCs functioning 24X7 with atleast 3 Staff Nurses,TOTAL,24,23,22,23,22,21,22,22,22,23,22,22,-1
,14.03,Number of Anganwadi centres reported to have conducted VHNDs,TOTAL,182,204,214,181,207,170,190,190,199,192,179,186,-1
,14.04,Number of facilities having a Rogi Kalyan Samiti (RKS),TOTAL,6,6,6,6,6,6,6,6,6,6,6,6,-1
,14.05,Number of RKS meetings held during the month,TOTAL,1,0,1,2,9,2,6,13,9,7,16,7,73
,14.06,Number of facilities having Ambulance services (Assured Referral Services),TOTAL,33,32,31,32,32,30,32,31,33,33,31,31,-1
,14.07,Total Number of times the Ambulance was used for transporting patients during the month,TOTAL,791,976,831,864,745,892,907,936,802,834,674,933,10185
,14.08,Number of Institutions having Operational Sick New Born and Child Care Units (SNCU),TOTAL,7,7,7,7,7,7,7,7,7,7,7,7,-1
,14.09,Number of functional Laproscopes in CHC/SDH/DH,TOTAL,1,1,1,1,1,1,1,0,1,1,1,1,-1
,14.10.1.a,Number of male patients admitted (Inpatients) during the month,1. Children,538,477,818,694,742,670,717,561,512,544,507,613,7393
,,,2. Adults,1213,1813,1667,1370,1444,1386,1369,1295,1338,1351,1322,1248,16816
,14.10.1.b,Number of female patients (Inpatients) admitted during the month,1. Children,475,373,724,620,627,614,580,458,484,466,492,533,6446
,,,2. Adults,1792,2074,1821,1820,1622,1631,1576,1541,1503,1431,1415,1517,19743
,14.10.1.c,Total number of patients admitted (Inpatients) during the month (sum of items 14.10.1.a and 14.10.1.b),1. Children,1013,850,1542,1314,1369,1284,1297,1019,996,1010,999,1146,13839
,,,2. Adults,3005,3887,3488,3190,3066,3017,2945,2836,2841,2782,2737,2765,36559
,14.10.2.a,Number of death cases of Inpatient males,TOTAL,54,50,58,48,51,51,50,59,55,52,53,106,687
,14.10.2.b,Number of death cases of Inpatient females,TOTAL,22,31,28,34,28,26,28,35,29,24,24,63,372
,14.10.2.c,Number of cases of death of Inpatients (sum of items 14.10.2.a and 14.10.2.b),TOTAL,76,81,86,82,79,77,78,94,84,76,77,169,1059
,14.11,In-Patient Head Count at midnight,TOTAL,1173,1303,1528,1346,1155,1136,1122,1177,1234,2343,1020,822,15359
,14.12.1,OPD attendance (All),TOTAL,127022,143189,166619,146047,156773,157151,151897,152627,157195,144330,145934,157838,1806622
,14.13.1,Number of major operations carried out using general or spinal anaesthesia,TOTAL,212,192,224,272,230,207,213,246,1019,263,255,271,3604
,14.13.1A,"Out of 14.13.1,Gynecology- Hysterectomy surgeries",TOTAL,,,,,,,,,,,,,
,14.13.2,Number of minor operations carried out without anaesthesia or using local anaesthesia,TOTAL,153,288,321,304,280,317,252,264,232,354,307,328,3400
,14.14.a,Number of patients given AYUSH treatment,TOTAL,4607,3341,3011,4791,5101,4867,3277,5008,4960,2935,4431,4806,51135
,14.14.b,Number of patients on whom Dental Procedure was conducted,TOTAL,416,497,257,628,414,648,369,781,760,618,635,690,6713
,14.14.c,Number of Adolescents counselled,TOTAL,45,121,54,141,163,147,185,333,46,57,83,37,1412
,15.1.1.a,Number of Haemoglobin (Hb) tests conducted,TOTAL,9503,10374,10006,10720,10160,10407,9650,9957,10421,8727,9730,8660,118315
,15.1.1.b,"Out of the total number of Hb tests conducted, number of cases having Hb less than 7gm/dl",TOTAL,563,586,630,567,612,775,534,599,614,492,586,591,7149
,15.1.2.a,Number of HIV tests conducted on males,1. Number tested,852,979,944,1319,964,1020,930,1014,883,846,869,689,11309
,,,2. Number Positive,0,3,1,1,0,6,1,0,0,9,21,60,102
,15.1.2.b,Number of HIV tests conducted on Female-Non ANC (i.e. non pregnant females),1. Number tested,283,282,362,309,209,224,220,289,224,261,206,211,3080
,,,2. Number Positive,0,171,1,0,0,1,1,1,1,1,3,34,214
,15.1.2.c,Number of HIV tests conducted on Female with ANC (i.e. pregnant females),1. Number tested,465,471,499,449,404,470,497,499,378,396,420,383,5331
,,,2. Number Positive,0,170,0,0,0,6,0,0,0,9,6,0,191
,15.1.2.d,Total number of HIV tests conducted (sum of items 15.1.2.a to 15.1.2.c),1. Number tested,1600,1732,1805,2077,1577,1714,1647,1802,1485,1503,1495,1283,19720
,,,2. Number Positive,0,344,2,1,0,13,2,1,1,19,30,94,507
,15.2,Number of Widal tests conducted,Number tested,886,1096,1390,1414,1104,1034,1043,971,1145,1095,985,1076,13239
,15.3.a,Number of VDRL tests conducted on males,Number tested,664,666,712,615,677,726,759,756,665,525,617,516,7898
,15.3.b,Number of VDRL tests conducted on Female-Non ANC (i.e. non pregnant females),Number tested,137,163,60,127,89,88,65,84,54,63,142,77,1149
,15.3.c,Number of VDRL tests conducted on Female with ANC (i.e. pregnant females),Number tested,471,453,514,464,404,407,525,521,446,401,449,408,5463
,15.3.d,Total number of VDRL tests conducted (sum of items 15.3.a to 15.3.c),Number tested,1272,1282,1286,1206,1170,1221,1349,1361,1165,989,1208,1001,14510
,15.4.1,Number of blood smears examined for Malaria,TOTAL,2586,4206,6789,6202,3580,3427,3198,2569,2764,2103,2812,2699,42935
,15.4.2,"Out of blood smears examined for malaria, number of blood smears tested positive for Plasmodium Vivax",TOTAL,54,103,75,123,71,63,113,16,34,54,137,74,917
,15.4.3,"Out of blood smears examined for malaria, number of blood smears tested positive for Plasmodium Falciparum",TOTAL,18,26,12,9,4,7,3,3,0,23,3,2,110
,16.1.1,Stock position of DPT vaccines,1. Balance From Previous Month,,,,,,,,,,,,,
,,,2. Stocks Received,,,,,,,,,,,,,
,,,3. Unusable Stock,,,,,,,,,,,,,
,,,4. Stock Distributed,,,,,,,,,,,,,
,,,5. Total Stock,0,0,0,0,0,0,0,0,0,0,0,0,0
,16.1.1A,Stock Position of Pentavalent,1. Balance From Previous Month,,,,,,,,,,,,,
,,,2. Stocks Received,,,,,,,,,,,,,
,,,3. Unusable Stock,,,,,,,,,,,,,
,,,4. Stock Distributed,,,,,,,,,,,,,
,,,5. Total Stock,0,0,0,0,0,0,0,0,0,0,0,0,0
,16.1.2,Stock position of OPV vaccines,1. Balance From Previous Month,,,,,,,,,,,,,
