state,id,para,total,April,May,June,July,August,September,October,November,December,January,February,March,Total
,9.11.1.a,Number of cases of complications following male sterilization,TOTAL,,,,,,,,,,,,,
,9.11.1.b,Number of cases of complications following female sterilization,TOTAL,,,,,,,,,,,,,
,9.11.2.a,Number of failures following male sterilization,TOTAL,,,,,,,,,,,,,
,9.11.2.b,Number of failures following female sterilization,TOTAL,,,,,,,,,,,,,
,9.11.3.a,Number of deaths following male sterilization,TOTAL,,,,,,,,,,,,,
,9.11.3.b,Number of deaths following female sterilization,TOTAL,,,,,,,,,,,,,
,9.12,Number of Institutions having NSV trained doctors,TOTAL,,2,,1,1,,,,1,,,,-1
,10.1.01,Number of Infants (0 to 11 months old)received BCG immunisation,TOTAL,422,445,449,444,444,433,400,401,362,386,413,399,4998
,10.1.02,Number of Infants (0 to 11 months old) received DPT1 immunisation,TOTAL,341,362,495,455,413,454,361,453,445,358,419,424,4980
,10.1.03,Number of Infants (0 to 11 months old) received DPT2 immunisation,TOTAL,337,332,433,433,495,442,361,493,459,369,418,378,4950
,10.1.04,Number of Infants (0 to 11 months old) received DPT3 immunisation,TOTAL,357,355,400,367,423,482,414,511,459,384,415,421,4988
,10.1.04A,Number of Infants (0 to 11 months old) received Pentavalent1 immunisation,TOTAL,,,,,,,,,,,,,
,10.1.04B,Number of Infants (0 to 11 months old) received Pentavalent2 immunisation,TOTAL,,,,,,,,,,,,,
,10.1.04C,Number of Infants (0 to 11 months old) received Pentavalent3 immunisation,TOTAL,,,,,,,,,,,,,
,10.1.05,Number of Infants (0 to 11 months old) received OPV 0 (Birth Dose),TOTAL,412,427,386,326,400,434,430,406,351,385,366,393,4716
,10.1.06,Number of Infants (0 to 11 months old) received OPV1 (First Dose),TOTAL,340,332,494,455,428,454,372,461,429,358,409,420,4952
,10.1.07,Number of Infants (0 to 11 months old) received OPV2 (Second Dose),TOTAL,333,308,431,432,492,439,352,453,464,369,417,378,4868
,10.1.08,Number of Infants (0 to 11 months old) received OPV3 (Third Dose),TOTAL,369,336,403,385,377,470,383,506,473,384,418,412,4916
,10.1.09A,Number of Infants (upto 48 hrs of age) received Hepatitis-B0 immunisation,TOTAL,,,,,,,,,,,,,
,10.1.09,Number of Infants (0 to 11 months old) received Hepatitis-B1 immunisation,TOTAL,355,363,484,449,446,459,376,442,421,352,402,420,4969
,10.1.10,Number of Infants (0 to 11 months old) received Hepatitis-B2 immunisation,TOTAL,327,331,433,433,505,453,349,450,458,367,412,371,4889
,10.1.11,Number of Infants (0 to 11 months old) received Hepatitis-B3 immunisation,TOTAL,294,355,393,389,436,471,347,505,463,405,446,417,4921
,10.1.12,Number of Infants (0 to 11 months old) received Measles immunisation (First Dose),TOTAL,402,342,436,482,476,423,396,432,422,384,410,445,5050
,10.1.12B,Number of Infants (more than 16 months old) received Measles immunisation (Second Dose),TOTAL,,,,,,,,,,,,,
,10.1A,No. of Children aged 9 to 12 months who received JE 1st dose,TOTAL,,,,,,,,,,,,,
,10.1.13.a,Total number of male children (9 to 11 months old) fully immunised (BCG+DPT123/Pentavalent123+OPV123+Measles) during the month,TOTAL,205,174,224,269,246,188,209,323,207,239,217,282,2783
,10.1.13.b,Total number of female children (9 to 11 months old) fully immunised (BCG+DPT123/Pentavalent123+OPV123+Measles) during the month,TOTAL,217,154,214,253,240,186,217,288,228,218,196,216,2627
,10.1.13.c,Total number of children (9 to 11 months old) fully immunised (BCG+DPT123/Pentavalent123+OPV123+Measles) during the month (sum of items 10.1.13.a and 10.1.13.b),TOTAL,422,328,438,522,486,374,426,611,435,457,413,498,5410
,10.2.1,Number of Infants (more than 16 months old) received DPT Booster dose,TOTAL,294,265,407,404,423,376,357,452,443,353,358,368,4500
,10.2.2,Number of Infants (more than 16 months old) received OPV Booster dose,TOTAL,313,264,407,404,423,374,357,452,443,353,357,362,4509
,10.2.3,"Number of Infants (more than 16 months old) received Measles, Mumps, Rubella (MMR) Vaccination",TOTAL,248,183,274,269,254,221,226,297,313,245,238,273,3041
,10.3.1.a,Total number of male children (12 to 23 months old) fully immunised (BCG+DPT123/Pentavalent123+OPV123+Measles) during the month,TOTAL,46,25,97,114,119,108,118,98,81,52,30,72,960
,10.3.1.b,Total number of female children (12 to 23 months old) fully immunised (BCG+DPT123/Pentavalent123+OPV123+Measles) during the month,TOTAL,42,21,114,103,102,113,124,122,97,67,33,49,987
,10.3.1.c,Total number of children (12 to 23 months old) fully immunised (BCG+DPT123+OPV123/Pentavalent123+Measles) during the month (sum of items 10.3.1.a and 10.3.1.b),TOTAL,88,46,211,217,221,221,242,220,178,119,63,121,1947
,10.3.2,Number of children (more than 5 years old) given DT5,TOTAL,4,,1,20,114,207,77,73,388,10,100,63,1057
,10.3.3,Number of children (more than 10 years old) given TT10,TOTAL,4,5,12,13,450,584,187,627,731,2,34,40,2689
,10.3.4,Number of children (more than 16 years old) given TT16,TOTAL,1,5,11,14,220,300,67,478,573,4,232,47,1952
,10.3.5.a,Number of cases of Abscess reported following immunisation [Adverse Event Following Immunisation (AEFI)],TOTAL,,,,1,2,3,,3,2,4,2,3,20
,10.3.5.b,Number of cases of Death reported following immunisation [Adverse Event Following Immunisation (AEFI)],TOTAL,,,,,,,,,,4,,,4
,10.3.5.c,Number of cases of other complications reported following immunisation [Adverse Event Following Immunisation (AEFI)],TOTAL,19,1,27,41,10,35,24,27,14,17,14,10,239
,10.4.1,Number of Immunisation sessions planned to be held during the month,TOTAL,250,238,294,316,312,296,253,257,284,266,259,234,3259
,10.4.2,Number of Immunisation sessions held during the month,TOTAL,260,212,275,262,270,264,208,238,254,244,235,212,2934
,10.4.3,Number of Immunisation sessions held during the month where ASHAs were present,TOTAL,168,117,139,145,158,153,165,206,153,177,147,147,1875
,10.5.1,Number of children (more than 16 months old) received Japanese Encephalitis (JE) vaccination,TOTAL,,,,,,,,,,,,,
,11.1.1,Number of children (9 months to 5 years old) administered 1st dose of Vitamin A (Dose-1),TOTAL,27,1,15,16,14,,,,,,,159,232
,11.1.2,Number of children (9 months to 5 years old) were administered 5th dose of Vitamin A (Dose-5),TOTAL,761,,,,,,,,,,,15,776
,11.1.3,Number of children (9 months to 5 years old) administered 9th dose of Vitamin A (Dose-9),TOTAL,803,,,,,,,,,,,7,810
,12.1,Number of cases of Diptheria reported in children below 5 years of age,TOTAL,,,,,,,,,,,,11,11
,12.2,Number of cases of Pertusis reported in children below 5 years of age,TOTAL,,,,,,,,,,,,,
,12.3,Number of cases of Tetanus neonatarum reported in children below 5 years of age,TOTAL,,,,,,,,,,,,,
,12.4,Number of cases of Tetanus other than neonatarum reported in children below 5 years of age,TOTAL,,,,,,,,,,,,,
,12.5,Number of cases of Polio reported in children below 5 years of age,TOTAL,,,,,,,,,,,,,
,12.6,Number of cases of Measles reported in children below 5 years of age,TOTAL,1,3,9,1,,2,4,13,11,33,15,7,99
,12.7,Number of cases of Diarrhoea and Dehydration reported in children below 5 years of age,TOTAL,172,180,319,329,236,193,152,142,173,125,114,135,2270
,12.8,Number of cases of Malaria reported in children below 5 years of age,TOTAL,44,182,90,99,72,24,11,41,37,6,59,59,724
,12.9,Number of children below 5 years of age admitted with Respiratory Infections,TOTAL,143,121,171,209,335,272,120,162,113,144,136,166,2092
,13.1,Number of Patients operated for cataract,TOTAL,47,44,62,50,52,65,67,93,,46,46,,572
,13.2,Number of Intraocular Lens(IOL) implantations,TOTAL,44,44,61,50,52,64,67,46,,44,45,,517
,13.3,Number of School children detected with Refractive errors,TOTAL,71,43,47,131,122,126,331,29,88,170,196,41,1395
,13.4,Number of children provided free glasses,TOTAL,27,9,,69,93,57,62,24,35,104,97,17,594
,13.5,Number of eyes collected through eye donation,TOTAL,,,,,,,,,,,,,
,13.6,Number of eyes utilised for corneal transplant,TOTAL,,,,,,,,,,,,,
,14.01,Number of CHC or SDH or DH functioning as First Referral units (FRUs),TOTAL,8,8,8,3,4,10,10,5,5,5,5,5,-1
,14.02,Number of PHCs functioning 24X7 with atleast 3 Staff Nurses,TOTAL,19,18,19,19,18,19,19,16,21,16,16,16,-1
,14.03,Number of Anganwadi centres reported to have conducted VHNDs,TOTAL,102,111,116,125,121,154,163,123,166,148,163,163,-1
,14.04,Number of facilities having a Rogi Kalyan Samiti (RKS),TOTAL,25,16,16,16,26,26,26,26,26,27,27,27,-1
,14.05,Number of RKS meetings held during the month,TOTAL,7,2,9,4,3,11,7,7,8,7,5,4,74
,14.06,Number of facilities having Ambulance services (Assured Referral Services),TOTAL,27,16,27,28,27,27,26,25,27,25,26,26,-1
,14.07,Total Number of times the Ambulance was used for transporting patients during the month,TOTAL,415,166,270,319,298,255,395,398,321,342,364,345,3888
,14.08,Number of Institutions having Operational Sick New Born and Child Care Units (SNCU),TOTAL,5,5,5,5,5,5,5,4,4,4,4,4,-1
,14.09,Number of functional Laproscopes in CHC/SDH/DH,TOTAL,,1,1,,,6,6,6,6,6,6,6,-1
,14.10.1.a,Number of male patients admitted (Inpatients) during the month,1. Children,497,554,699,809,792,823,766,662,699,585,576,560,8022
,,,2. Adults,1430,1318,1412,1659,1455,1567,1597,1558,1483,1261,1231,1386,17357
,14.10.1.b,Number of female patients (Inpatients) admitted during the month,1. Children,525,465,549,635,689,624,624,592,572,482,464,504,6725
,,,2. Adults,1479,1512,1558,2099,1608,1625,2024,1815,1513,1424,1354,1309,19320
,14.10.1.c,Total number of patients admitted (Inpatients) during the month (sum of items 14.10.1.a and 14.10.1.b),1. Children,1022,1019,1248,1444,1481,1447,1390,1254,1271,1067,1040,1064,14747
,,,2. Adults,2909,2830,2970,3758,3063,3192,3621,3373,2996,2685,2585,2695,36677
,14.10.2.a,Number of death cases of Inpatient males,TOTAL,58,49,89,67,70,81,84,79,75,68,74,58,852
,14.10.2.b,Number of death cases of Inpatient females,TOTAL,25,39,43,31,44,39,38,29,26,39,42,34,429
,14.10.2.c,Number of cases of death of Inpatients (sum of items 14.10.2.a and 14.10.2.b),TOTAL,83,88,132,98,114,120,122,108,101,107,116,92,1281
,14.11,In-Patient Head Count at midnight,TOTAL,1198,961,1190,1898,2479,2409,1496,922,1061,1285,1373,1065,17337
,14.12.1,OPD attendance (All),TOTAL,81336,78931,71278,91807,90641,94559,93169,107473,106636,95964,92802,95261,1099857
,14.13.1,Number of major operations carried out using general or spinal anaesthesia,TOTAL,6,236,223,175,194,238,284,217,166,186,193,174,2292
,14.13.1A,"Out of 14.13.1,Gynecology- Hysterectomy surgeries",TOTAL,,,,,,,,,,,,,
,14.13.2,Number of minor operations carried out without anaesthesia or using local anaesthesia,TOTAL,387,614,696,565,61,887,1062,1117,380,492,367,312,6940
,14.14.a,Number of patients given AYUSH treatment,TOTAL,1005,887,805,2517,2607,2253,2196,1348,828,2325,1506,2708,20985
,14.14.b,Number of patients on whom Dental Procedure was conducted,TOTAL,332,267,244,405,587,542,620,516,360,140,300,267,4580
,14.14.c,Number of Adolescents counselled,TOTAL,524,416,308,359,398,443,210,149,141,61,183,135,3327
,15.1.1.a,Number of Haemoglobin (Hb) tests conducted,TOTAL,7325,6734,5726,8698,8181,8710,9077,8720,7886,7689,6593,7244,92583
,15.1.1.b,"Out of the total number of Hb tests conducted, number of cases having Hb less than 7gm/dl",TOTAL,535,958,579,672,682,761,786,644,570,557,634,589,7967
,15.1.2.a,Number of HIV tests conducted on males,1. Number tested,475,373,524,754,293,537,348,511,483,478,442,340,5558
,,,2. Number Positive,,,,1,126,1,,,,,,,128
,15.1.2.b,Number of HIV tests conducted on Female-Non ANC (i.e. non pregnant females),1. Number tested,210,194,101,178,97,195,214,170,198,260,171,132,2120
,,,2. Number Positive,,,,,50,,,1,,,,,51
,15.1.2.c,Number of HIV tests conducted on Female with ANC (i.e. pregnant females),1. Number tested,263,203,249,418,159,231,225,376,271,315,265,293,3268
,,,2. Number Positive,,,,,130,1,,,,,,1,132
,15.1.2.d,Total number of HIV tests conducted (sum of items 15.1.2.a to 15.1.2.c),1. Number tested,948,770,874,1350,549,963,787,1057,952,1053,878,765,10946
,,,2. Number Positive,,,,1,306,2,,1,,,,1,311
,15.2,Number of Widal tests conducted,Number tested,903,659,1173,1718,1724,1469,1249,1011,1587,857,672,486,13508
,15.3.a,Number of VDRL tests conducted on males,Number tested,638,428,579,363,565,712,505,392,571,538,462,404,6157
,15.3.b,Number of VDRL tests conducted on Female-Non ANC (i.e. non pregnant females),Number tested,121,72,43,89,79,130,131,123,94,96,67,272,1317
,15.3.c,Number of VDRL tests conducted on Female with ANC (i.e. pregnant females),Number tested,461,326,386,180,441,515,347,439,438,437,386,202,4558
,15.3.d,Total number of VDRL tests conducted (sum of items 15.3.a to 15.3.c),Number tested,1220,826,1008,632,1085,1357,983,954,1103,1071,915,878,12032
,15.4.1,Number of blood smears examined for Malaria,TOTAL,2779,3121,4275,7826,5972,4775,5178,4683,4701,2885,2950,3412,52557
,15.4.2,"Out of blood smears examined for malaria, number of blood smears tested positive for Plasmodium Vivax",TOTAL,69,43,117,111,98,80,77,89,86,44,64,80,958
,15.4.3,"Out of blood smears examined for malaria, number of blood smears tested positive for Plasmodium Falciparum",TOTAL,29,55,54,50,31,68,60,43,37,10,17,21,475
,16.1.1,Stock position of DPT vaccines,1. Balance From Previous Month,2448,2596,6242,5076,5519,7796,6103,5705,4266,6642,5405,3853,61651
,,,2. Stocks Received,2700,1670,3250,3770,5000,970,2910,2200,6660,1485,950,1700,33265
,,,3. Unusable Stock,140,176,152,433,258,147,145,298,360,303,218,283,2913
,,,4. Stock Distributed,2412,1265,1904,2223,3041,2516,3163,3341,2750,2419,2284,2099,29417
,,,5. Total Stock,2596,2825,7436,6190,7220,6103,5705,4266,7816,5405,3853,3171,62586
,16.1.1A,Stock Position of Pentavalent,1. Balance From Previous Month,,,,,,,,,,,,,
,,,2. Stocks Received,,,,,,,,,,,,,
,,,3. Unusable Stock,,,,,,,,,,,,,
,,,4. Stock Distributed,,,,,,,,,,,,,
,,,5. Total Stock,0,0,0,0,0,0,0,0,0,0,0,0,0
,16.1.2,Stock position of OPV vaccines,1. Balance From Previous Month,4718,5382,9146,9254,6872,8531,7088,7183,6905,6160,4509,3271,79019
,,,2. Stocks Received,3700,2470,3900,2440,4700,1680,3600,3400,4900,1600,8360,8710,49460
,,,3. Unusable Stock,415,559,474,735,792,639,621,754,1102,579,1778,432,8880
,,,4. Stock Distributed,2621,2357,2543,3021,3192,2484,2884,2924,2878,2672,7820,7267,42663
,,,5. Total Stock,5382,4936,10029,7938,7588,7088,7183,6905,7825,4509,3271,4282,76936
,16.1.3,Stock position of TT vaccines,1. Balance From Previous Month,1623,3293,5525,5246,4384,6411,9420,9318,8296,9356,7203,5991,76066
,,,2. Stocks Received,2850,900,700,2350,2000,6150,3070,1940,4950,550,480,1150,27090
,,,3. Unusable Stock,94,165,102,246,224,177,149,323,142,129,188,189,2128
,,,4. Stock Distributed,1086,980,1002,1081,1625,2964,3023,2639,1489,2574,1504,1739,21706
,,,5. Total Stock,3293,3048,5121,6269,4535,9420,9318,8296,11615,7203,5991,5213,79322
